AREA,ST,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,OCC_GROUP,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,O_GROUP,LOC_QUOTIENT,PCT_TOTAL,PRIM_STATE,PCT_RPT
11,DC,District of Columbia,00-0000,All Occupations,total,644730.0,0.9,1000.0,1.0,35.84,74540.0,7.7,11.41,17.61,29.41,48.51,68.35,23730.0,36630.0,61180.0,100900.0,142170.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-0000,Management Occupations,major,82930.0,1.2,128.626,2.67,60.48,125800.0,1.8,29.87,44.97,59.08,71.4,86.68,62130.0,93540.0,122890.0,148510.0,180300.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-1011,Chief Executives,NA,5830.0,5.9,9.042,4.34,90.79,188840.0,3.0,43.29,60.4,86.85,#,#,90040.0,125620.0,180640.0,#,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-1021,General and Operations Managers,NA,24140.0,2.5,37.437,2.66,62.97,130970.0,1.7,31.62,46.94,61.44,74.55,#,65770.0,97630.0,127790.0,155060.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,NA,420.0,13.7,0.648,2.71,46.31,96330.0,3.0,24.03,30.36,41.34,57.03,76.97,49990.0,63160.0,85980.0,118620.0,160090.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-2021,Marketing Managers,NA,1470.0,6.4,2.276,1.73,65.98,137240.0,3.8,31.09,41.1,59.92,83.02,#,64660.0,85490.0,124630.0,172690.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-2022,Sales Managers,NA,1240.0,7.8,1.931,0.75,51.43,106980.0,5.6,22.93,31.58,45.47,63.77,87.81,47700.0,65680.0,94570.0,132640.0,182650.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,NA,3110.0,10.5,4.83,11.65,57.02,118600.0,4.9,25.58,38.75,57.17,72.35,86.96,53210.0,80600.0,118910.0,150490.0,180880.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3011,Administrative Services Managers,NA,2980.0,4.6,4.619,2.37,41.03,85340.0,2.9,20.58,28.61,38.32,51.85,65.75,42810.0,59510.0,79700.0,107840.0,136760.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,NA,3690.0,4.4,5.73,2.44,63.28,131610.0,3.2,40.96,54.57,65.81,73.38,79.83,85200.0,113500.0,136880.0,152640.0,166040.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
