AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,639390.0,1.2,1000.0,1.0,35.31,73440.0,7.6,11.31,17.27,28.71,47.09,67.44,23520.0,35910.0,59720.0,97950.0,140270.0,,
11,DC,District of Columbia,11-0000,Management Occupations,major,84890.0,1.4,132.765,2.802,58.87,122460.0,2.4,27.46,42.24,57.33,71.22,#,57110.0,87860.0,119250.0,148140.0,#,,
11,DC,District of Columbia,11-1011,Chief Executives,,6300.0,5.3,9.856,4.58,89.25,185650.0,2.6,40.98,61.14,#,#,#,85240.0,127170.0,#,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,,26910.0,2.5,42.08,3.131,59.95,124690.0,2.4,27.84,42.04,59.01,72.08,#,57920.0,87450.0,122740.0,149930.0,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,,440.0,13.6,0.685,2.701,48.26,100390.0,4.6,25.02,31.69,44.25,58.53,76.89,52040.0,65910.0,92040.0,121740.0,159930.0,,
11,DC,District of Columbia,11-2021,Marketing Managers,,1380.0,6.0,2.159,1.667,60.08,124960.0,2.9,30.86,41.05,55.09,71.78,#,64190.0,85380.0,114590.0,149300.0,#,,
11,DC,District of Columbia,11-2022,Sales Managers,,1380.0,7.6,2.159,0.859,52.86,109960.0,5.6,22.78,30.54,43.85,66.05,#,47380.0,63520.0,91200.0,137390.0,#,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,,3130.0,14.5,4.902,11.654,59.39,123540.0,5.9,25.4,38.71,56.03,74.65,#,52830.0,80520.0,116530.0,155280.0,#,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,,3330.0,6.9,5.207,2.754,39.14,81400.0,3.6,18.58,25.85,36.46,49.69,63.46,38650.0,53780.0,75840.0,103360.0,132000.0,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,,3640.0,6.1,5.7,2.51,62.04,129040.0,3.6,38.78,53.22,65.44,72.49,79.08,80670.0,110700.0,136120.0,150780.0,164490.0,,
11,DC,District of Columbia,11-3031,Financial Managers,,6760.0,2.5,10.577,2.807,61.02,126920.0,3.1,36.94,48.52,59.72,70.83,#,76830.0,100920.0,124220.0,147330.0,#,,
11,DC,District of Columbia,11-3051,Industrial Production Managers,,30.0,27.2,0.049,0.043,47.97,99770.0,3.3,31.15,37.89,45.18,57.88,66.58,64800.0,78800.0,93970.0,120380.0,138490.0,,
11,DC,District of Columbia,11-3061,Purchasing Managers,,1360.0,1.3,2.132,4.155,59.1,122930.0,2.9,50.58,53.95,59.87,65.76,71.4,105210.0,112220.0,124520.0,136770.0,148510.0,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",,360.0,4.9,0.56,0.788,58.12,120900.0,4.2,38.01,47.08,59.5,69.49,74.76,79060.0,97930.0,123760.0,144530.0,155490.0,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,,430.0,12.2,0.677,2.884,44.34,92230.0,5.5,23.72,31.17,42.15,51.38,65.03,49330.0,64840.0,87670.0,106880.0,135250.0,,
11,DC,District of Columbia,11-3121,Human Resources Managers,,1170.0,4.7,1.826,3.428,61.86,128670.0,4.1,36.53,49.32,65.44,72.97,79.48,75980.0,102580.0,136120.0,151780.0,165310.0,,
11,DC,District of Columbia,11-3131,Training and Development Managers,,250.0,15.9,0.393,1.78,40.44,84110.0,8.3,16.14,18.24,39.89,53.89,71.16,33570.0,37930.0,82960.0,112080.0,148000.0,,
11,DC,District of Columbia,11-9021,Construction Managers,,710.0,12.3,1.116,0.741,48.57,101030.0,5.6,24.94,34.53,46.31,56.6,69.73,51870.0,71830.0,96320.0,117730.0,145040.0,,
11,DC,District of Columbia,11-9031,"Education Administrators, Preschool and Childcare Center/Program",,380.0,10.3,0.591,1.482,29.41,61160.0,7.6,15.75,18.91,25.08,36.63,52.94,32760.0,39330.0,52160.0,76180.0,110120.0,,
11,DC,District of Columbia,11-9032,"Education Administrators, Elementary and Secondary School",,760.0,10.2,1.183,0.676,*,84380.0,6.0,*,*,*,*,*,54680.0,67890.0,83420.0,102890.0,117460.0,True,
11,DC,District of Columbia,11-9033,"Education Administrators, Postsecondary",,1290.0,11.2,2.019,2.325,40.32,83860.0,6.2,19.03,23.41,33.34,48.38,70.73,39580.0,48690.0,69340.0,100630.0,147120.0,,
11,DC,District of Columbia,11-9039,"Education Administrators, All Other",,660.0,17.7,1.028,4.65,52.41,109020.0,3.8,29.65,41.74,49.94,61.46,75.95,61680.0,86810.0,103870.0,127840.0,157980.0,,
11,DC,District of Columbia,11-9041,Architectural and Engineering Managers,,1780.0,4.3,2.777,2.02,62.89,130810.0,3.0,47.68,55.7,64.03,71.07,76.56,99170.0,115860.0,133180.0,147830.0,159250.0,,
11,DC,District of Columbia,11-9051,Food Service Managers,,990.0,13.2,1.546,1.052,25.2,52410.0,6.5,10.54,17.97,23.79,32.39,39.83,21910.0,37370.0,49480.0,67360.0,82850.0,,
11,DC,District of Columbia,11-9081,Lodging Managers,,250.0,15.9,0.39,1.656,33.28,69230.0,4.8,16.54,20.19,25.98,38.85,55.37,34400.0,42000.0,54040.0,80800.0,115160.0,,
11,DC,District of Columbia,11-9111,Medical and Health Services Managers,,2310.0,4.0,3.615,1.624,47.49,98770.0,4.0,26.28,34.94,44.4,58.81,73.2,54660.0,72680.0,92350.0,122320.0,152250.0,,
11,DC,District of Columbia,11-9121,Natural Sciences Managers,,970.0,4.2,1.518,4.202,60.75,126360.0,4.4,42.81,52.26,62.38,72.84,74.76,89040.0,108710.0,129750.0,151500.0,155500.0,,
11,DC,District of Columbia,11-9141,"Property, Real Estate, and Community Association Managers",,1380.0,18.7,2.159,1.865,30.11,62640.0,10.7,10.51,17.69,27.65,41.57,53.96,21850.0,36790.0,57520.0,86470.0,112230.0,,
11,DC,District of Columbia,11-9151,Social and Community Service Managers,,1410.0,16.9,2.21,2.411,35.84,74550.0,6.2,16.86,23.33,35.91,44.45,54.85,35070.0,48520.0,74700.0,92460.0,114080.0,,
11,DC,District of Columbia,11-9161,Emergency Management Directors,,80.0,0.9,0.122,1.314,40.89,85060.0,1.8,27.05,31.89,38.41,46.72,63.9,56270.0,66330.0,79890.0,97190.0,132910.0,,
11,DC,District of Columbia,11-9199,"Managers, All Other",,15020.0,1.1,23.488,8.704,60.74,126340.0,2.7,46.97,53.56,60.69,67.82,74.75,97690.0,111410.0,126240.0,141070.0,155490.0,,
11,DC,District of Columbia,13-0000,Business and Financial Operations Occupations,major,89380.0,1.7,139.792,2.917,41.37,86060.0,1.3,21.79,29.67,39.33,49.94,64.07,45320.0,61710.0,81800.0,103870.0,133260.0,,
11,DC,District of Columbia,13-1022,"Wholesale and Retail Buyers, Except Farm Products",,90.0,20.1,0.146,0.171,20.9,43470.0,4.4,14.58,15.74,17.7,25.67,32.24,30330.0,32750.0,36810.0,53400.0,67060.0,,
11,DC,District of Columbia,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,2510.0,1.8,3.925,1.832,40.09,83380.0,1.8,23.94,30.03,38.88,47.83,56.96,49790.0,62460.0,80870.0,99480.0,118480.0,,
11,DC,District of Columbia,13-1031,"Claims Adjusters, Examiners, and Investigators",,780.0,5.7,1.227,0.594,37.99,79010.0,5.8,20.29,25.7,36.0,45.65,52.28,42210.0,53460.0,74880.0,94960.0,108750.0,,
11,DC,District of Columbia,13-1041,Compliance Officers,,2570.0,2.6,4.021,2.505,39.51,82190.0,3.3,24.83,30.37,38.26,47.08,54.22,51640.0,63160.0,79590.0,97930.0,112770.0,,
11,DC,District of Columbia,13-1051,Cost Estimators,,200.0,16.7,0.315,0.218,35.45,73740.0,4.4,20.15,26.61,34.59,41.05,56.54,41910.0,55340.0,71950.0,85380.0,117610.0,,
11,DC,District of Columbia,13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",,6530.0,5.1,10.214,3.107,38.23,79510.0,8.1,18.52,24.82,37.2,50.58,58.73,38520.0,51630.0,77370.0,105210.0,122160.0,,
11,DC,District of Columbia,13-1081,Logisticians,,830.0,8.2,1.292,1.567,44.08,91690.0,4.3,23.8,32.87,43.9,55.64,65.25,49510.0,68370.0,91310.0,115720.0,135710.0,,
11,DC,District of Columbia,13-1111,Management Analysts,,15760.0,3.2,24.652,5.842,43.2,89860.0,1.9,25.14,34.03,42.81,50.83,59.32,52290.0,70790.0,89040.0,105720.0,123390.0,,
11,DC,District of Columbia,13-1121,"Meeting, Convention, and Event Planners*",,1920.0,9.0,3.0,6.695,29.52,61400.0,4.2,14.61,21.26,28.04,37.6,43.93,30390.0,44220.0,58330.0,78220.0,91360.0,,
11,DC,District of Columbia,13-1141,"Compensation, Benefits, and Job Analysis Specialists",,1000.0,12.2,1.562,1.931,34.83,72450.0,1.9,20.65,25.13,33.86,43.14,51.9,42950.0,52260.0,70430.0,89730.0,107940.0,,
11,DC,District of Columbia,13-1151,Training and Development Specialists,,1250.0,9.1,1.951,1.216,33.16,68980.0,2.9,19.46,25.42,32.09,39.6,49.94,40470.0,52870.0,66740.0,82360.0,103880.0,,
11,DC,District of Columbia,13-1161,Market Research Analysts and Marketing Specialists*,,3970.0,11.6,6.203,3.012,36.07,75020.0,3.3,18.75,24.58,34.63,45.75,57.08,38990.0,51120.0,72020.0,95170.0,118720.0,,
11,DC,District of Columbia,13-1199,"Business Operations Specialists, All Other*",,32080.0,2.2,50.168,6.415,43.31,90080.0,3.4,22.02,30.04,39.6,51.49,73.74,45800.0,62480.0,82360.0,107100.0,153380.0,,
11,DC,District of Columbia,13-2011,Accountants and Auditors,,9910.0,5.2,15.493,1.836,40.57,84390.0,7.1,22.94,27.9,37.92,51.37,62.39,47710.0,58030.0,78880.0,106850.0,129760.0,,
11,DC,District of Columbia,13-2021,Appraisers and Assessors of Real Estate,,190.0,12.2,0.293,0.595,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,DC,District of Columbia,13-2031,Budget Analysts,,2120.0,3.4,3.31,7.217,41.54,86410.0,2.5,25.7,33.1,42.25,48.51,55.64,53460.0,68840.0,87890.0,100910.0,115730.0,,
11,DC,District of Columbia,13-2041,Credit Analysts,,370.0,29.2,0.586,1.188,33.49,69660.0,3.5,21.15,25.67,32.14,36.62,52.16,44000.0,53400.0,66850.0,76160.0,108490.0,,
11,DC,District of Columbia,13-2051,Financial Analysts,,2460.0,21.3,3.851,2.217,44.94,93470.0,2.7,26.37,32.54,41.05,55.71,69.08,54840.0,67680.0,85390.0,115880.0,143680.0,,
11,DC,District of Columbia,13-2052,Personal Financial Advisors,,420.0,22.8,0.664,0.543,46.3,96310.0,16.6,18.29,22.9,28.34,70.24,#,38040.0,47640.0,58950.0,146100.0,#,,
11,DC,District of Columbia,13-2053,Insurance Underwriters,,100.0,39.7,0.161,0.215,32.3,67180.0,3.8,18.56,23.61,30.3,39.44,50.59,38610.0,49120.0,63030.0,82030.0,105230.0,,
11,DC,District of Columbia,13-2061,Financial Examiners,,420.0,6.4,0.649,2.961,61.59,128110.0,7.7,32.14,44.0,63.27,77.31,#,66850.0,91520.0,131600.0,160800.0,#,,
11,DC,District of Columbia,13-2071,Credit Counselors,,**,**,**,**,21.81,45360.0,5.2,14.63,17.27,20.61,24.56,29.65,30440.0,35910.0,42880.0,51080.0,61660.0,,
11,DC,District of Columbia,13-2072,Loan Officers,,590.0,33.0,0.93,0.417,38.07,79190.0,5.6,17.59,23.12,30.09,43.82,72.38,36580.0,48090.0,62580.0,91150.0,150560.0,,
11,DC,District of Columbia,13-2082,Tax Preparers,,130.0,47.6,0.199,0.444,16.51,34350.0,8.0,9.19,11.18,15.89,20.13,23.55,19120.0,23260.0,33040.0,41870.0,48980.0,,
11,DC,District of Columbia,13-2099,"Financial Specialists, All Other",,2730.0,1.7,4.274,3.513,43.05,89540.0,2.9,24.7,30.98,40.96,50.56,67.43,51380.0,64440.0,85200.0,105160.0,140250.0,,
11,DC,District of Columbia,15-0000,Computer and Mathematical Occupations,major,33180.0,3.5,51.892,2.008,42.19,87760.0,4.7,23.7,31.05,41.41,52.84,62.39,49290.0,64580.0,86130.0,109900.0,129760.0,,
11,DC,District of Columbia,15-1111,Computer and Information Research Scientists,,280.0,6.2,0.437,2.231,57.03,118610.0,2.8,38.46,44.94,55.64,68.14,78.24,80000.0,93470.0,115730.0,141740.0,162730.0,,
11,DC,District of Columbia,15-1121,Computer Systems Analysts,,3150.0,9.6,4.931,1.264,40.86,85000.0,3.0,24.04,31.62,40.1,50.44,60.51,50010.0,65760.0,83410.0,104920.0,125860.0,,
11,DC,District of Columbia,15-1131,Computer Programmers,,2490.0,13.5,3.888,1.481,38.62,80330.0,1.6,25.75,31.08,37.62,45.77,54.32,53570.0,64640.0,78240.0,95200.0,112980.0,,
11,DC,District of Columbia,15-1132,"Software Developers, Applications",,2530.0,13.4,3.95,1.006,44.44,92430.0,4.7,28.2,33.35,42.76,56.3,66.47,58660.0,69370.0,88940.0,117100.0,138250.0,,
11,DC,District of Columbia,15-1133,"Software Developers, Systems Software",,1470.0,11.6,2.305,0.773,44.44,92440.0,1.9,30.84,35.96,42.77,52.11,63.53,64140.0,74800.0,88960.0,108380.0,132130.0,,
11,DC,District of Columbia,15-1141,Database Administrators,,1400.0,11.1,2.19,2.674,38.2,79450.0,2.4,21.9,29.07,37.46,48.1,56.37,45560.0,60460.0,77910.0,100050.0,117260.0,,
11,DC,District of Columbia,15-1142,Network and Computer Systems Administrators*,,3930.0,9.5,6.145,2.344,39.18,81500.0,3.3,24.2,29.84,37.9,45.98,55.34,50340.0,62070.0,78830.0,95630.0,115110.0,,
11,DC,District of Columbia,15-1150,Computer Support Specialists,,4350.0,9.3,6.807,1.494,28.29,58850.0,2.2,16.68,21.34,26.93,33.49,41.75,34690.0,44390.0,56010.0,69660.0,86840.0,,
11,DC,District of Columbia,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,2640.0,12.7,4.131,2.158,39.87,82920.0,2.0,23.39,30.12,38.62,49.25,57.8,48650.0,62660.0,80330.0,102440.0,120210.0,,
11,DC,District of Columbia,15-1799,"Computer Occupations, All Other*",,8140.0,1.3,12.735,8.84,50.7,105460.0,2.4,33.77,43.2,52.27,59.02,65.75,70240.0,89850.0,108720.0,122760.0,136770.0,,
11,DC,District of Columbia,15-2011,Actuaries,,240.0,22.6,0.369,2.56,53.33,110920.0,4.4,27.94,36.96,49.93,65.75,77.96,58110.0,76880.0,103860.0,136760.0,162150.0,,
11,DC,District of Columbia,15-2021,Mathematicians,,50.0,2.8,0.085,3.823,55.81,116090.0,3.4,32.04,50.59,55.12,69.13,74.76,66640.0,105230.0,114650.0,143780.0,155490.0,,
11,DC,District of Columbia,15-2031,Operations Research Analysts,,1660.0,10.6,2.594,5.3,45.06,93730.0,4.4,24.83,32.59,43.58,55.36,67.57,51640.0,67780.0,90650.0,115140.0,140550.0,,
11,DC,District of Columbia,15-2041,Statisticians,,830.0,3.3,1.293,7.198,50.09,104180.0,2.0,34.42,42.8,50.47,57.33,65.75,71590.0,89030.0,104990.0,119240.0,136760.0,,
11,DC,District of Columbia,17-0000,Architecture and Engineering Occupations,major,12570.0,4.5,19.661,1.084,46.55,96830.0,6.0,23.37,31.67,45.59,60.69,73.21,48620.0,65870.0,94830.0,126230.0,152280.0,,
11,DC,District of Columbia,17-1011,"Architects, Except Landscape and Naval",,1560.0,13.4,2.44,3.536,40.95,85170.0,2.6,23.05,28.24,38.17,50.68,62.29,47950.0,58740.0,79380.0,105410.0,129560.0,,
11,DC,District of Columbia,17-1012,Landscape Architects,,90.0,23.5,0.138,1.052,33.83,70360.0,5.3,20.44,25.97,30.02,42.5,51.37,42510.0,54020.0,62450.0,88410.0,106840.0,,
11,DC,District of Columbia,17-1022,Surveyors,,**,**,**,**,29.81,62010.0,15.7,20.8,22.32,24.86,30.69,58.25,43270.0,46430.0,51720.0,63840.0,121150.0,,
11,DC,District of Columbia,17-2011,Aerospace Engineers,,380.0,16.8,0.589,0.954,55.38,115180.0,5.0,33.56,42.45,59.01,67.18,74.75,69810.0,88300.0,122750.0,139730.0,155490.0,,
11,DC,District of Columbia,17-2031,Biomedical Engineers,,30.0,0.7,0.05,0.416,41.09,85470.0,4.1,28.85,32.48,37.11,51.57,61.67,60000.0,67550.0,77180.0,107270.0,128270.0,,
11,DC,District of Columbia,17-2041,Chemical Engineers,,90.0,2.2,0.146,0.646,51.42,106960.0,2.4,39.24,45.3,53.0,55.65,65.75,81620.0,94230.0,110240.0,115750.0,136760.0,,
11,DC,District of Columbia,17-2051,Civil Engineers,,840.0,21.4,1.309,0.668,35.58,74010.0,8.8,17.19,22.97,35.36,46.61,54.98,35760.0,47770.0,73560.0,96950.0,114360.0,,
11,DC,District of Columbia,17-2061,Computer Hardware Engineers,,**,**,**,**,52.6,109410.0,4.9,29.19,39.97,52.66,65.06,75.99,60710.0,83140.0,109520.0,135330.0,158050.0,,
11,DC,District of Columbia,17-2071,Electrical Engineers,,450.0,15.1,0.701,0.599,47.44,98670.0,4.5,28.5,35.29,46.29,55.68,68.28,59280.0,73410.0,96280.0,115810.0,142030.0,,
11,DC,District of Columbia,17-2072,"Electronics Engineers, Except Computer",,850.0,10.2,1.332,1.267,50.95,105970.0,4.9,30.19,37.19,50.71,63.91,74.75,62800.0,77360.0,105470.0,132930.0,155490.0,,
