AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,644730.0,0.9,1000.0,1.0,35.84,74540.0,7.7,11.41,17.61,29.41,48.51,68.35,23730.0,36630.0,61180.0,100900.0,142170.0,,
11,DC,District of Columbia,11-0000,Management Occupations,major,82930.0,1.2,128.626,2.67,60.48,125800.0,1.8,29.87,44.97,59.08,71.4,86.68,62130.0,93540.0,122890.0,148510.0,180300.0,,
11,DC,District of Columbia,11-1011,Chief Executives,,5830.0,5.9,9.042,4.34,90.79,188840.0,3.0,43.29,60.4,86.85,#,#,90040.0,125620.0,180640.0,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,,24140.0,2.5,37.437,2.66,62.97,130970.0,1.7,31.62,46.94,61.44,74.55,#,65770.0,97630.0,127790.0,155060.0,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,,420.0,13.7,0.648,2.71,46.31,96330.0,3.0,24.03,30.36,41.34,57.03,76.97,49990.0,63160.0,85980.0,118620.0,160090.0,,
11,DC,District of Columbia,11-2021,Marketing Managers,,1470.0,6.4,2.276,1.73,65.98,137240.0,3.8,31.09,41.1,59.92,83.02,#,64660.0,85490.0,124630.0,172690.0,#,,
11,DC,District of Columbia,11-2022,Sales Managers,,1240.0,7.8,1.931,0.75,51.43,106980.0,5.6,22.93,31.58,45.47,63.77,87.81,47700.0,65680.0,94570.0,132640.0,182650.0,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,,3110.0,10.5,4.83,11.65,57.02,118600.0,4.9,25.58,38.75,57.17,72.35,86.96,53210.0,80600.0,118910.0,150490.0,180880.0,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,,2980.0,4.6,4.619,2.37,41.03,85340.0,2.9,20.58,28.61,38.32,51.85,65.75,42810.0,59510.0,79700.0,107840.0,136760.0,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,,3690.0,4.4,5.73,2.44,63.28,131610.0,3.2,40.96,54.57,65.81,73.38,79.83,85200.0,113500.0,136880.0,152640.0,166040.0,,
11,DC,District of Columbia,11-3031,Financial Managers,,6830.0,2.1,10.591,2.84,62.84,130700.0,2.2,39.3,50.7,61.48,71.4,84.69,81750.0,105470.0,127890.0,148500.0,176160.0,,
11,DC,District of Columbia,11-3051,Industrial Production Managers,,40.0,22.4,0.059,0.05,48.55,100980.0,4.1,31.91,38.11,45.26,59.5,69.1,66360.0,79260.0,94130.0,123750.0,143730.0,,
11,DC,District of Columbia,11-3061,Purchasing Managers,,1560.0,1.4,2.423,4.64,60.52,125870.0,2.6,50.58,55.63,60.7,67.44,73.39,105210.0,115710.0,126250.0,140270.0,152650.0,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",,420.0,3.7,0.644,0.9,59.26,123270.0,3.3,40.64,48.52,61.48,71.39,74.76,84540.0,100920.0,127880.0,148490.0,155500.0,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,,260.0,10.9,0.4,2.09,44.66,92890.0,4.7,28.72,36.62,42.65,51.16,58.92,59740.0,76170.0,88700.0,106420.0,122550.0,,
11,DC,District of Columbia,11-3121,Human Resources Managers,,1290.0,3.6,2.004,3.14,63.38,131830.0,3.4,37.35,50.61,65.45,73.38,81.94,77680.0,105260.0,136130.0,152640.0,170440.0,,
11,DC,District of Columbia,11-3131,Training and Development Managers,,310.0,12.2,0.482,2.28,41.89,87140.0,7.4,16.71,21.19,40.69,55.04,73.47,34760.0,44070.0,84640.0,114480.0,152820.0,,
11,DC,District of Columbia,11-9021,Construction Managers,,800.0,11.1,1.239,0.82,53.78,111860.0,6.4,26.88,37.63,49.68,61.1,84.61,55910.0,78270.0,103340.0,127100.0,175980.0,,
11,DC,District of Columbia,11-9031,"Education Administrators, Preschool and Childcare Center/Program",,270.0,17.1,0.425,1.11,31.01,64500.0,8.4,15.24,18.4,26.09,42.03,57.03,31700.0,38270.0,54270.0,87420.0,118630.0,,
11,DC,District of Columbia,11-9032,"Education Administrators, Elementary and Secondary School",,670.0,10.8,1.034,0.6,*,85920.0,6.2,*,*,*,*,*,50440.0,66160.0,86010.0,107920.0,121320.0,True,
11,DC,District of Columbia,11-9033,"Education Administrators, Postsecondary",,1670.0,9.1,2.595,2.93,46.14,95970.0,7.3,20.45,26.83,36.31,54.89,86.46,42530.0,55810.0,75520.0,114170.0,179840.0,,
11,DC,District of Columbia,11-9039,"Education Administrators, All Other",,670.0,9.2,1.04,4.75,51.64,107400.0,3.6,29.48,41.51,49.94,60.69,72.79,61320.0,86340.0,103870.0,126240.0,151400.0,,
11,DC,District of Columbia,11-9041,Architectural and Engineering Managers,,1990.0,3.8,3.084,2.14,63.49,132060.0,2.9,49.75,57.33,64.47,71.4,76.98,103480.0,119240.0,134100.0,148500.0,160120.0,,
11,DC,District of Columbia,11-9051,Food Service Managers,,1470.0,15.7,2.279,1.59,27.27,56720.0,4.9,11.55,19.59,23.94,34.39,43.41,24030.0,40750.0,49800.0,71530.0,90300.0,,
11,DC,District of Columbia,11-9081,Lodging Managers,,240.0,19.2,0.373,1.6,34.78,72340.0,4.6,18.11,21.03,28.94,41.91,53.23,37670.0,43730.0,60190.0,87170.0,110710.0,,
11,DC,District of Columbia,11-9111,Medical and Health Services Managers,,1510.0,7.1,2.343,1.05,48.61,101110.0,5.3,23.7,34.88,46.79,61.88,74.75,49300.0,72540.0,97330.0,128710.0,155480.0,,
11,DC,District of Columbia,11-9121,Natural Sciences Managers,,1020.0,2.4,1.584,4.28,59.65,124070.0,4.4,40.24,50.91,60.7,71.4,74.76,83700.0,105890.0,126260.0,148510.0,155500.0,,
11,DC,District of Columbia,11-9141,"Property, Real Estate, and Community Association Managers",,1450.0,15.8,2.253,1.9,32.77,68160.0,9.8,10.97,19.43,31.01,44.31,55.56,22820.0,40420.0,64500.0,92170.0,115550.0,,
11,DC,District of Columbia,11-9151,Social and Community Service Managers,,1090.0,10.7,1.684,1.87,39.76,82700.0,3.6,18.38,26.98,40.38,48.52,60.34,38240.0,56120.0,83980.0,100920.0,125500.0,,
11,DC,District of Columbia,11-9199,"Managers, All Other",,16410.0,0.9,25.45,9.5,61.06,127000.0,2.4,47.09,53.95,60.7,68.66,74.76,97940.0,112220.0,126250.0,142820.0,155490.0,,
11,DC,District of Columbia,13-0000,Business and Financial Operations Occupations,major,95350.0,1.5,147.888,3.07,41.23,85770.0,1.3,21.83,29.13,39.04,49.93,64.06,45400.0,60590.0,81210.0,103860.0,133250.0,,
11,DC,District of Columbia,13-1022,"Wholesale and Retail Buyers, Except Farm Products",,120.0,18.9,0.178,0.22,21.19,44070.0,5.3,15.05,16.11,17.89,25.77,33.74,31310.0,33520.0,37210.0,53600.0,70180.0,,
11,DC,District of Columbia,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,2360.0,1.8,3.66,1.71,39.13,81380.0,2.2,24.81,30.03,37.2,47.08,54.26,51610.0,62470.0,77370.0,97930.0,112860.0,,
11,DC,District of Columbia,13-1031,"Claims Adjusters, Examiners, and Investigators",,700.0,4.6,1.085,0.53,34.17,71080.0,3.5,20.29,24.83,33.88,42.81,48.51,42210.0,51640.0,70470.0,89040.0,100910.0,,
11,DC,District of Columbia,13-1041,Compliance Officers,,2680.0,2.9,4.154,2.53,39.97,83140.0,2.7,24.83,31.03,38.71,47.09,55.64,51640.0,64550.0,80520.0,97950.0,115730.0,,
11,DC,District of Columbia,13-1051,Cost Estimators,,170.0,15.7,0.266,0.18,32.56,67730.0,5.0,19.13,22.02,30.59,40.11,53.03,39790.0,45810.0,63630.0,83440.0,110310.0,,
11,DC,District of Columbia,13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",,6540.0,5.7,10.145,2.98,39.88,82950.0,6.5,20.11,26.9,39.6,51.36,59.02,41830.0,55960.0,82360.0,106830.0,122750.0,,
11,DC,District of Columbia,13-1081,Logisticians,,860.0,13.1,1.339,1.53,46.09,95860.0,2.2,27.31,35.03,45.65,55.65,65.76,56800.0,72870.0,94960.0,115750.0,136780.0,,
11,DC,District of Columbia,13-1111,Management Analysts,,17860.0,2.7,27.7,6.59,41.36,86040.0,1.8,24.71,31.04,42.06,49.64,55.65,51390.0,64560.0,87470.0,103260.0,115750.0,,
