AREA,ST,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,708220,0.5,1000,1,41.21,85720,5.8,12.72,19.42,33.82,55.42,77.58,26460,40400,70340,115280,161370,,
11,DC,District of Columbia,11-0000,Management Occupations,major,86030,1,121.467,2.38,70.09,145780,2.3,35.74,53.32,65.93,77.84,#,74340,110900,137130,161900,#,,
11,DC,District of Columbia,11-1011,Chief Executives,detailed,2140,7.5,3.016,2.05,113.47,236010,4.3,60.18,77.17,#,#,#,125160,160510,#,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,detailed,26210,2.6,37.005,2.38,71.74,149220,2.3,31.66,51.98,66.43,81.81,#,65850,108130,138170,170170,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,detailed,140,32.3,0.203,1.03,59.06,122850,11.2,24.17,34.07,54.58,73.34,98.88,50280,70870,113530,152540,205670,,
11,DC,District of Columbia,11-2021,Marketing Managers,detailed,1410,6.1,1.991,1.3,76.53,159190,2.2,43.53,55.82,72.74,92.05,#,90540,116110,151300,191470,#,,
11,DC,District of Columbia,11-2022,Sales Managers,detailed,1170,11.2,1.645,0.63,63.5,132090,4.2,29.99,42.71,57.68,76.69,#,62380,88830,119980,159520,#,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,detailed,4460,5.4,6.295,13.34,82.09,170750,2.6,39.55,53.08,74.17,99.11,#,82260,110410,154280,206140,#,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,detailed,1550,4.3,2.194,1.16,57.11,118790,4.7,31.66,39.1,52.48,67.91,82.54,65850,81340,109160,141260,171680,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,detailed,4060,2.7,5.738,2.24,78.99,164310,2.8,56.19,67.73,76.03,84.99,#,116880,140870,158140,176780,#,,
11,DC,District of Columbia,11-3031,Financial Managers,detailed,7470,1.4,10.551,2.64,77.19,160550,4.5,50.46,59.25,70.02,84.21,#,104960,123230,145630,175150,#,,
11,DC,District of Columbia,11-3061,Purchasing Managers,detailed,1650,0.7,2.329,4.71,66.01,137290,2.9,55.65,59.24,64.63,72.92,77.84,115760,123230,134420,151660,161900,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",detailed,410,2.9,0.582,0.7,65.14,135490,2.1,44.95,54.68,67.14,76.03,83.33,93490,113740,139650,158140,173330,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,detailed,130,9.3,0.179,1.64,67.67,140760,4.1,46.09,55.12,64.61,77.67,92.05,95860,114640,134380,161560,191450,,
11,DC,District of Columbia,11-3121,Human Resources Managers,detailed,1540,2.1,2.175,2.27,74.9,155790,1.9,49.3,62.74,73.9,81.99,99.23,102550,130490,153710,170550,206390,,
11,DC,District of Columbia,11-3131,Training and Development Managers,detailed,310,11.9,0.437,1.8,70.85,147370,4.4,27.72,52.74,64.48,84.04,#,57650,109700,134120,174800,#,,
11,DC,District of Columbia,11-9021,Construction Managers,detailed,990,14.2,1.397,0.76,53.03,110300,2.2,31.65,40.6,50.35,65.11,78.49,65830,84440,104730,135420,163250,,
11,DC,District of Columbia,11-9032,"Education Administrators, Elementary and Secondary School",detailed,1270,7.9,1.793,1.02,*,102460,4.3,*,*,*,*,*,59680,80250,100940,125290,149340,True,
11,DC,District of Columbia,11-9033,"Education Administrators, Postsecondary",detailed,1540,3.4,2.177,2.18,52.41,109010,3.9,24.93,30.84,41.86,61.97,95.63,51850,64140,87080,128900,198910,,
11,DC,District of Columbia,11-9039,"Education Administrators, All Other",detailed,760,8.1,1.074,4.23,48.16,100180,3.5,22.66,31.97,50.13,60.46,71.28,47130,66510,104280,125760,148270,,
11,DC,District of Columbia,11-9041,Architectural and Engineering Managers,detailed,1500,2.9,2.112,1.67,70.79,147240,2.8,55.66,62.84,70.02,77.83,84.55,115770,130700,145630,161890,175870,,
11,DC,District of Columbia,11-9051,Food Service Managers,detailed,1190,24.4,1.68,1.15,35.22,73250,2.3,25.32,28.33,33.19,38.72,49.15,52670,58920,69030,80540,102230,,
11,DC,District of Columbia,11-9081,Lodging Managers,detailed,130,9.3,0.188,0.73,51.27,106640,9.7,25.65,28.96,38.46,62.91,92.47,53360,60230,80010,130860,192340,,
11,DC,District of Columbia,11-9111,Medical and Health Services Managers,detailed,1670,3.8,2.355,0.97,69.09,143710,4.6,36.91,47.89,61.49,77.84,#,76770,99610,127890,161900,#,,
11,DC,District of Columbia,11-9121,Natural Sciences Managers,detailed,1100,4.6,1.56,3.96,61.17,127230,4.5,35.35,51.66,62.84,73.91,77.84,73530,107450,130700,153730,161900,,
11,DC,District of Columbia,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1640,11,2.314,1.77,39.54,82240,3.9,21.14,24.78,34.11,48.52,62.73,43970,51550,70940,100910,130470,,
11,DC,District of Columbia,11-9151,Social and Community Service Managers,detailed,920,13.8,1.292,1.3,51.45,107010,4.9,27.35,34.31,46.9,62.72,87.86,56900,71360,97540,130470,182750,,
