AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,712370,0.8,1000,1,42.27,87920,6.1,13.78,20.05,34.46,56.65,78.94,28660,41700,71690,117820,164200,,
11,DC,District of Columbia,11-0000,Management Occupations,major,86690,1.3,121.695,2.31,71.96,149680,1.7,35.83,54.45,67.94,78.95,#,74520,113260,141320,164210,#,,
11,DC,District of Columbia,11-1011,Chief Executives,detailed,1880,7.4,2.636,1.95,118.99,247500,5.3,73.47,81.85,#,#,#,152820,170250,#,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,detailed,25930,2.9,36.393,2.3,72.58,150970,1.9,31.79,52.68,67.78,82.74,#,66120,109570,140990,172100,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,detailed,140,33,0.19,1.09,69.04,143600,7.6,35.13,43.35,63.9,80.87,#,73080,90170,132910,168210,#,,
11,DC,District of Columbia,11-2021,Marketing Managers,detailed,1990,8.4,2.799,1.68,79.63,165640,2.8,44.72,55.93,72.78,93.75,#,93010,116340,151370,195010,#,,
11,DC,District of Columbia,11-2022,Sales Managers,detailed,1020,11,1.438,0.55,63.88,132870,5,26.92,37.73,59.22,77.99,#,55990,78490,123180,162220,#,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,detailed,5390,5.7,7.561,15.1,90.41,188050,3,46.95,61.11,78.97,#,#,97650,127110,164250,#,#,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,detailed,1410,4.6,1.985,1.01,60.47,125770,5.4,32.86,42.27,54.91,71.28,90.44,68350,87920,114220,148270,188110,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,detailed,4020,6.6,5.647,2.09,81.01,168500,2.4,57.39,69.13,77.89,88.03,#,119370,143780,162010,183090,#,,
11,DC,District of Columbia,11-3031,Financial Managers,detailed,6900,1.6,9.687,2.31,80.15,166710,4,54.14,62.43,72.38,86.16,#,112610,129860,150550,179210,#,,
11,DC,District of Columbia,11-3061,Purchasing Managers,detailed,1490,1.1,2.09,4.35,67.86,141150,2.9,56.93,60.61,66.11,75.6,78.95,118410,126060,137510,157250,164210,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",detailed,510,3.9,0.713,0.83,67.81,141040,2.4,45.98,55.56,69.13,78.94,91.15,95640,115560,143790,164200,189600,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,detailed,110,10.2,0.152,1.4,65.41,136050,3.5,41.35,49.61,62.48,77.98,92.05,86020,103190,129960,162200,191460,,
11,DC,District of Columbia,11-3121,Human Resources Managers,detailed,1540,2,2.155,2.17,78.08,162410,2.2,50.28,63.61,75.6,84.71,#,104590,132310,157250,176200,#,,
11,DC,District of Columbia,11-3131,Training and Development Managers,detailed,300,12.9,0.427,1.73,72.09,149950,4.9,31.03,54.11,67.37,81.83,#,64550,112540,140130,170210,#,,
11,DC,District of Columbia,11-9021,Construction Managers,detailed,**,**,**,**,49.67,103310,3.1,27.92,37.64,48.45,59.54,73.52,58060,78300,100770,123850,152920,,
11,DC,District of Columbia,11-9032,"Education Administrators, Elementary and Secondary School",detailed,1170,9.4,1.64,0.9,*,106200,3.8,*,*,*,*,*,66200,83890,105160,126960,153900,True,
