AREA,AREA_NAME,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,723510,0.5,1000,1,NA,43.17,89800,5.7,14.63,20.76,35.74,57.64,78.94,30420,43180,74340,119890,164200,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,89030,1.2,123.051,2.24,NA,72.9,151630,1.6,36.88,55.1,68.25,80.05,#,76700,114600,141950,166500,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1960,9.1,2.712,1.93,NA,113.2,235450,4.1,67.36,79.19,#,#,#,140120,164710,#,#,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,25630,2.5,35.429,2.17,NA,73.56,153000,1.7,34.09,54.27,69.12,83.77,#,70910,112890,143780,174240,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,130,22.7,0.183,1.07,NA,65.05,135310,6.6,33.71,41.24,58.61,81.94,#,70120,85780,121900,170430,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,2320,8.2,3.205,1.79,NA,79.94,166280,2.8,42.9,55.72,73.72,96.03,#,89240,115900,153340,199750,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1060,9.3,1.466,0.53,NA,68.53,142540,4.5,27.98,38.97,62.71,85.42,#,58190,81060,130440,177680,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,5990,5,8.285,15.37,NA,92.29,191960,2.6,45.61,61.72,81.54,#,#,94860,128380,169600,#,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,1230,3.4,1.704,0.81,NA,57.41,119410,2.6,33.5,42.26,54.39,68.05,80.73,69670,87900,113140,141550,167910,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,3880,3.7,5.366,1.82,NA,81.2,168900,1.8,58.41,70.07,78.94,89.07,#,121490,145740,164200,185260,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,7200,2.2,9.945,2.23,NA,83.02,172680,4.5,55.09,63.61,74.79,93.89,#,114590,132310,155560,195290,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,1670,0.8,2.31,4.7,NA,68.14,141720,2.5,58.22,60.61,66.83,75.6,78.95,121090,126070,139000,157250,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,550,4.4,0.762,0.85,NA,66.35,138000,2.4,41.47,53.36,68.46,78.66,91.15,86260,110990,142400,163620,189600,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,110,6,0.149,1.3,NA,66.26,137830,3.2,41.85,49.85,62.55,77.57,95.7,87040,103680,130110,161350,199050,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,1600,2.1,2.207,2.09,NA,79.56,165480,1.7,52.48,65.72,76.81,87.19,#,109150,136700,159770,181350,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,310,17.1,0.434,1.65,NA,64.91,135000,3.8,27.08,31.44,61.28,79.59,#,56320,65390,127460,165550,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,**,**,**,**,NA,50.57,105190,3.3,26.92,38.11,49.72,60.92,74.95,55990,79270,103420,126710,155890,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1260,8.5,1.737,0.94,NA,*,109630,3.4,*,*,*,*,*,68130,86410,108120,130940,158830,True,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1580,2.4,2.188,2.22,NA,55.04,114480,3.9,25.99,32.45,43,63.56,#,54060,67490,89450,132210,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,940,4.1,1.302,4.29,NA,53.02,110290,4.2,29.5,41.71,53.69,62.44,75.11,61360,86760,111670,129870,156230,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,1370,2.3,1.895,1.43,NA,74.09,154110,2.4,60.61,66.1,71.62,78.95,87.99,126060,137490,148960,164210,183020,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1400,26.5,1.937,1.21,NA,35.92,74710,5.6,25.47,27.47,30.8,38.26,54.71,52980,57140,64070,79590,113800,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,120,10.7,0.164,0.63,NA,56.06,116600,4.7,30.21,39.51,48.77,66.09,86.48,62840,82170,101450,137460,179880,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,1600,2.8,2.212,0.82,NA,72.14,150040,4,40.53,51.11,64.27,79.96,#,84290,106320,133680,166310,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,1170,2.7,1.619,3.51,NA,65.05,135310,4.1,39.42,54.4,66.1,77.76,82.24,82000,113140,137490,161750,171070,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,2070,10.4,2.858,1.9,NA,42.93,89300,4.1,22.61,27.23,35.73,53.82,73.22,47040,56640,74320,111950,152300,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,700,9,0.964,0.9,NA,50.24,104510,3.6,31.03,37.15,47.05,60.31,74.86,64530,77270,97860,125450,155710,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,210,1.8,0.291,4.24,NA,58.02,120680,4,31.9,38.04,66.96,75.61,78.95,66340,79130,139280,157260,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,20690,1.1,28.594,8.9,NA,71.69,149120,3.2,52.91,60.6,67.95,78.04,91.09,110050,126050,141330,162330,189460,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,109420,1,151.239,2.71,NA,48.22,100310,3.1,27.03,34.52,45.98,57.5,74.22,56230,71800,95650,119600,154380,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,2540,2.5,3.508,1.22,NA,47.72,99250,3.2,27.24,38.97,48.27,57.28,66.4,56670,81050,100410,119150,138110,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,740,13.2,1.023,0.52,NA,36.72,76380,5.4,19.83,26.6,34.79,47.04,55.94,41240,55330,72360,97840,116360,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,4210,2.6,5.812,2.69,NA,45.24,94110,2.1,27.93,34.89,44.17,52.83,60.86,58100,72570,91870,109890,126590,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,350,13.1,0.477,0.33,NA,43.87,91240,4.1,24.51,32.28,43.02,53.8,66.82,50980,67140,89480,111900,138990,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,7500,2.6,10.365,2.4,NA,46.99,97730,4.6,26.72,33.81,46.62,58.33,67.95,55580,70320,96980,121330,141330,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,420,15.2,0.575,1.12,NA,47.63,99080,4.6,28.28,36.46,44.88,57.96,75.32,58820,75840,93350,120560,156670,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,1150,17.2,1.59,1.28,NA,46.09,95870,7.4,23.61,31.63,44.43,60.6,72.09,49110,65780,92420,126050,149950,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,18370,2.6,25.395,5.26,NA,51.44,107000,2.3,32.7,39.96,49.72,57.89,73.32,68020,83110,103420,120400,152500,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,2290,7.2,3.166,3.95,NA,32.46,67510,1.8,18.88,24.06,30.78,39.56,48.35,39260,50050,64030,82290,100570,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,2370,7.3,3.272,5.89,NA,41.45,86220,2.5,24.55,29.54,39.48,50.93,61.87,51070,61450,82110,105930,128690,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,570,7.5,0.793,1.3,NA,39.34,81830,2,25.47,31.66,37.57,46.88,57.03,52980,65850,78130,97510,118610,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,1910,5.9,2.635,1.24,NA,38.73,80570,2.6,21.18,26.73,36.41,47.98,59.8,44060,55610,75740,99790,124380,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,7110,4.9,9.823,2.13,NA,39.57,82300,1.6,21.93,27.59,36.25,48.49,62.48,45620,57380,75400,100870,129960,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,36840,1.4,50.925,5.85,NA,49.39,102720,3.6,27.45,35.15,46.62,59.13,78.95,57090,73100,96970,122990,164210,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,10660,3.8,14.73,1.69,NA,49.97,103930,4.5,28.27,35.06,46.84,60.61,74.03,58800,72930,97420,126070,153990,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,170,46.7,0.229,0.6,NA,46.73,97200,2.8,30.89,40.21,48.08,55.95,61.05,64260,83630,100010,116370,126990,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,1930,6.2,2.665,7.61,NA,48.27,100390,2.5,32.45,39.43,48.18,55.94,60.61,67490,82010,100210,116360,126060,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,280,16,0.386,0.77,NA,50.48,105010,8.9,28.14,34.23,48.5,65.12,79.24,58540,71200,100890,135450,164820,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,810,14.1,1.118,0.78,NA,72.27,150310,6.9,27.96,35.44,59.45,#,#,58160,73720,123660,#,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,130,48.6,0.182,0.27,NA,44.59,92750,8.6,26.04,30.63,39.1,55.89,69.01,54160,63710,81330,116250,143540,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,650,5.4,0.904,2.06,NA,78.59,163460,6.9,35.89,54.03,77.07,98.48,#,74660,112370,160300,204830,#,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,140,6.1,0.199,0.91,NA,35.68,74220,2.3,22.23,26.01,31.31,44.97,56.07,46240,54110,65130,93540,116630,,
11,District of Columbia,2,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,430,16.5,0.591,0.28,NA,41.77,86880,5.3,21.23,27.72,37.71,48.87,76.75,44170,57660,78430,101640,159640,,
