AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,687160,0.5,1000,1,NA,45.83,95330,5.6,15.34,22.7,38.29,61.46,82.12,31910,47210,79650,127830,170800,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,90520,1.2,131.732,2.31,NA,75.8,157660,2,39.93,58.2,71.93,82.7,#,83040,121060,149620,172010,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1570,7.7,2.283,1.57,NA,122.03,253820,3.6,66.81,88.87,#,#,#,138960,184850,#,#,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,26550,2.4,38.645,2.29,NA,76.44,159000,2.1,38.1,56.81,71.94,86.72,#,79250,118150,149630,180370,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,110,17.4,0.158,0.98,NA,63.01,131050,5.2,34.03,40.02,55.55,81.8,99.79,70780,83240,115550,170140,207550,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,2570,6.8,3.74,1.93,NA,81.4,169320,2.9,43.9,57.1,76.18,98.98,#,91320,118780,158450,205890,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,980,10.8,1.427,0.51,NA,68.89,143290,5.5,28.66,40.52,61.32,82.5,#,59620,84290,127550,171600,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,6300,4.4,9.166,15.72,NA,98.21,204270,3.1,48.5,65.64,88.41,#,#,100880,136540,183900,#,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,1330,3.7,1.939,0.88,NA,59.54,123850,2.5,34.61,42.71,55.93,71.09,85.97,72000,88830,116340,147870,178820,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,4110,3.5,5.986,1.82,NA,82.79,172210,2,59.51,72.73,82.11,89.55,#,123790,151270,170790,186270,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,7060,2.4,10.274,2.19,NA,85.54,177920,4.9,58.32,66.11,77.75,94.44,#,121320,137510,161720,196440,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,40,26.8,0.063,0.05,NA,52.27,108730,7.3,26.32,29.96,47.89,69.23,87.52,54740,62310,99620,143990,182040,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,1700,0.9,2.478,4.86,NA,71.47,148660,3.3,60.26,64.16,70.03,77.76,82.12,125350,133450,145670,161740,170800,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,490,5,0.712,0.75,NA,68.99,143510,3.1,41.33,55.33,71.95,82.11,94.85,85970,115090,149650,170800,197290,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,120,5.6,0.168,1.43,NA,70.15,145920,3.6,44.72,52.56,66.38,81.15,99.35,93010,109330,138070,168790,206650,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,1670,2.2,2.432,2.16,NA,80.38,167190,2,52.52,65,78.41,86.91,#,109240,135210,163090,180760,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,260,24.4,0.372,1.34,NA,60.64,126120,7.2,27.09,30.77,59.04,77.9,98.43,56340,64000,122800,162020,204730,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,**,**,**,**,NA,50.54,105120,3.7,26.01,37.46,49.7,61.52,75.92,54110,77930,103370,127970,157910,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,470,9.5,0.678,2.03,NA,29.93,62260,10.6,15.65,17.01,19.67,37.9,50.08,32550,35390,40920,78830,104170,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1300,8.1,1.886,1,NA,*,114990,2.9,*,*,*,*,*,71600,89810,112750,135910,165210,True,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1560,3.2,2.265,2.24,NA,61.13,127140,4.9,31.57,37.61,49.71,71.49,#,65660,78230,103400,148700,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,1020,4.2,1.477,4.71,NA,56.8,118150,3.8,32.39,44.65,56.86,66.11,80.04,67370,92870,118270,137500,166490,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,1240,1.6,1.798,1.28,NA,76.1,158300,3.3,64.15,68.05,75.82,82.12,87.71,133440,141540,157710,170800,182430,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1040,26.2,1.52,1.07,NA,36.5,75920,5.6,26.01,28.1,31.6,39.68,54.42,54090,58460,65720,82530,113180,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,80,32.7,0.12,0.52,NA,55.84,116140,5.6,28.7,36.75,48.85,63.81,91.2,59700,76430,101600,132720,189700,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,1590,3.8,2.307,0.8,NA,75.77,157590,5.3,42.89,53.79,67.6,85.67,#,89220,111890,140600,178200,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,1240,7.9,1.811,3.32,NA,68.54,142560,3.5,41.39,57.58,69.97,82.11,88.23,86090,119770,145540,170790,183510,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,2280,13.5,3.317,2.1,NA,43.37,90210,5.8,22.32,27.41,36.11,53.41,74.81,46420,57010,75110,111090,155610,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,670,10.6,0.976,0.87,NA,50.75,105560,3.6,31.21,37.83,48.4,61.78,74.2,64920,78690,100670,128490,154330,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,220,1.3,0.314,4.27,NA,60.77,126400,4.5,32.44,40.12,70.83,80.05,82.12,67470,83460,147320,166500,170800,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,21320,1.1,31.026,9.2,NA,74.53,155020,3.7,55.28,63.72,71.93,82.11,94.22,114980,132540,149620,170790,195980,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,110660,1,161.036,2.67,NA,49.66,103290,3.9,27.07,35.14,47.59,60.2,76.49,56300,73080,99000,125210,159100,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,2570,3.2,3.736,1.24,NA,50.49,105020,3.1,28.74,41.43,50.14,59.22,70.2,59790,86170,104290,123180,146020,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,470,5.9,0.684,0.33,NA,43.19,89830,2,26.51,32.58,42.89,52.64,60.87,55140,67760,89220,109500,126610,,
