AREA,STATE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,661960,0,1000,1,NA,NA,47.29,98370,0.4,17.31,23.49,38.44,62.06,82.93,36010,48860,79960,129080,172490,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,96600,1.3,145.931,2.31,NA,NA,75.25,156530,0.7,38.69,58.9,72.65,82.93,#,80480,122510,151110,172490,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1700,8.9,2.566,1.8,NA,NA,139.69,290560,4.4,62,88.02,#,#,#,128960,183080,#,#,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,29570,2.8,44.671,2.11,NA,NA,75.01,156010,0.9,37.94,57.43,73.91,82.93,#,78910,119450,153730,172490,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,60,23.7,0.097,0.61,NA,NA,56.9,118360,3.1,36.2,42.31,49.68,72.74,91.78,75290,88000,103330,151300,190890,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,2690,9.5,4.059,2.05,NA,NA,80.06,166530,1.8,48.08,61.06,78.2,99.47,#,100010,127000,162660,206890,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,**,**,**,**,NA,NA,67.59,140600,3.1,37.81,48.24,62.39,78.75,#,78650,100340,129770,163800,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,5900,7.4,8.915,20.99,NA,NA,89.84,186860,3,48.24,61.4,78.9,#,#,100330,127710,164120,#,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,670,19.8,1.014,6.16,NA,NA,72.64,151100,3.2,47.23,60.43,72.54,77.77,#,98240,125690,150890,161770,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,770,5.6,1.163,0.73,NA,NA,60.9,126660,2,36.61,43.32,56.49,76.57,82.93,76150,90110,117500,159270,172490,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,690,12.6,1.043,1.45,NA,NA,58.04,120720,4.1,35.91,45.48,60.43,77.38,79.53,74700,94600,125690,160950,165420,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,5060,5,7.649,2.22,NA,NA,84.62,176000,1.5,61.41,76.22,80.84,93.72,#,127740,158540,168150,194940,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,7820,3.2,11.813,2.44,NA,NA,83.76,174220,1.1,58.15,64.79,78.53,99.3,#,120950,134760,163340,206540,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,40,12.7,0.058,0.04,NA,NA,59.52,123790,5.2,36.2,39.28,56.27,75.44,99.49,75290,81700,117050,156920,206950,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,1660,0.5,2.506,5.09,NA,NA,72.55,150900,0.2,60.87,65.72,71.6,78.82,82.93,126610,136700,148930,163950,172490,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,580,5,0.873,0.85,NA,NA,67.67,140760,1.1,40.47,49.57,69.29,80.84,95.81,84180,103110,144120,168150,199280,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,130,7.8,0.202,1.85,NA,NA,69.65,144860,2.6,49.57,60.69,63.05,78.24,99.27,103110,126230,131150,162740,206490,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,1990,5,3.006,2.54,NA,NA,78.27,162810,1.6,48.2,61.38,77.9,88.31,#,100250,127660,162040,183680,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,120,9.8,0.18,0.71,NA,NA,68.33,142120,5.9,45.74,49.68,63.28,79.44,99.3,95140,103340,131620,165240,206540,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,1420,17.2,2.142,1.06,NA,NA,55.11,114630,3.1,36.96,38.46,47.91,61.24,79.16,76880,80000,99640,127370,164650,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,290,19.4,0.438,1.09,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1300,8.7,1.959,1,NA,NA,*,120610,2,*,*,*,*,*,77740,98630,125430,136290,165360,True,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1350,3.5,2.044,1.85,NA,NA,56.97,118500,1,28.92,36.82,47.09,61.24,#,60160,76580,97940,127370,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,1060,13.8,1.597,4.5,NA,NA,53.05,110350,6.4,23,35.76,56.49,65.72,77.54,47840,74380,117500,136700,161290,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,1290,4.6,1.956,1.47,NA,NA,76.01,158100,1.6,62.67,68.72,76.57,82.93,91.32,130360,142940,159270,172490,189950,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1130,24.4,1.702,1.14,NA,NA,37.81,78630,9,23.5,28.65,36.6,47.09,59.67,48870,59580,76130,97950,124120,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,220,14.8,0.334,1.31,NA,NA,52.61,109430,9.3,22.79,28.78,47.49,61.22,98.97,47410,59860,98780,127330,205870,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,1670,3.9,2.524,0.81,NA,NA,72.78,151370,2.4,37.42,49.38,64.25,82.93,#,77840,102720,133640,172490,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,1570,21.2,2.374,4.47,NA,NA,79.73,165840,13,37.7,58.9,76.22,95.81,#,78410,122510,158540,199280,#,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,2020,15.2,3.049,1.83,NA,NA,38.16,79370,8.6,17.86,22.64,30.04,47.66,62.38,37150,47080,62470,99130,129750,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,500,13.8,0.748,0.67,NA,NA,50.8,105660,2.7,28.86,36.79,47.39,62.37,71.71,60020,76530,98580,129730,149150,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,230,1.4,0.348,4.75,NA,NA,60.9,126670,0.5,30.35,38.56,69.29,80.84,82.93,63130,80200,144120,168150,172490,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,21710,1.8,32.804,9.28,NA,NA,73.89,153690,0.7,53.17,62.83,72.54,81.16,95.27,110590,130690,150890,168810,198160,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,114670,1.6,173.228,2.7,NA,NA,50.15,104310,0.6,29.08,37.13,48.38,61.23,77.55,60490,77240,100620,127360,161290,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,2550,2.9,3.847,1.23,NA,NA,50.5,105030,1.5,28.9,41.02,50.3,58.95,71.28,60110,85320,104620,122620,148260,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,470,12.4,0.704,0.36,NA,NA,39.97,83130,4,22.4,25.2,37.7,51.51,61.28,46600,52420,78420,107140,127460,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,4440,6.6,6.707,2.83,NA,NA,47.47,98740,2.2,29.13,36.76,46.43,54.83,63.97,60590,76450,96570,114050,133060,,
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,360,21.7,0.548,0.37,NA,NA,45.99,95670,9.5,29.74,30.41,38.38,62.61,63.33,61850,63260,79830,130230,131730,,
