PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,OCC_GROUP,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,O_GROUP,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",00-0000,All Occupations,total,1369620.0,0.8,1000.0,1.0,27.06,56290.0,2.7,10.36,14.25,21.86,34.9,50.43,21540.0,29640.0,45470.0,72600.0,104900.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-0000,Management Occupations,major,78050.0,2.6,56.983,1.18,58.7,122090.0,1.7,30.48,40.53,53.59,70.48,#,63390.0,84290.0,111470.0,146600.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1011,Chief Executives,NA,2000.0,4.7,1.46,0.7,100.71,209480.0,3.8,58.22,72.21,#,#,#,121090.0,150190.0,#,#,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1021,General and Operations Managers,NA,13820.0,2.7,10.089,0.72,66.28,137860.0,1.7,32.22,42.76,58.11,82.9,#,67020.0,88940.0,120870.0,172430.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1031,Legislators,NA,200.0,24.1,0.149,0.31,*,91000.0,4.3,*,*,*,*,*,39750.0,45760.0,92130.0,117650.0,159180.0,TRUE,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2011,Advertising and Promotions Managers,NA,430.0,8.7,0.312,1.3,46.75,97230.0,4.4,25.18,33.14,43.33,59.96,71.57,52380.0,68940.0,90120.0,124730.0,148870.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2021,Marketing Managers,NA,5130.0,2.9,3.743,2.85,63.21,131470.0,4.0,37.94,47.15,60.15,75.31,#,78910.0,98080.0,125120.0,156640.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2022,Sales Managers,NA,5310.0,4.1,3.879,1.52,65.75,136760.0,3.5,32.28,43.31,59.08,79.99,#,67140.0,90090.0,122880.0,166380.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,NA,1290.0,8.4,0.943,2.27,51.04,106160.0,2.4,30.71,38.31,49.88,62.38,74.75,63890.0,79680.0,103750.0,129740.0,155490.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3011,Administrative Services Managers,NA,3020.0,3.5,2.208,1.13,50.11,104230.0,2.5,28.27,37.35,46.5,60.05,73.14,58810.0,77690.0,96730.0,124900.0,152140.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3021,Computer and Information Systems Managers,NA,7340.0,2.7,5.358,2.28,65.92,137120.0,4.5,41.23,50.66,62.67,76.98,#,85760.0,105370.0,130350.0,160110.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3031,Financial Managers,NA,6870.0,3.2,5.019,1.35,60.69,126240.0,1.7,35.27,43.25,54.42,71.1,#,73360.0,89950.0,113190.0,147890.0,#,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3051,Industrial Production Managers,NA,1560.0,5.0,1.138,0.96,52.42,109040.0,1.9,31.29,39.81,50.68,62.84,73.96,65090.0,82790.0,105410.0,130710.0,153830.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3061,Purchasing Managers,NA,1280.0,4.7,0.933,1.79,54.1,112530.0,3.4,26.38,39.66,52.15,65.59,82.39,54860.0,82490.0,108480.0,136420.0,171370.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",NA,1900.0,6.4,1.39,1.93,49.58,103130.0,2.6,26.62,36.39,47.09,58.32,73.62,55370.0,75690.0,97940.0,121300.0,153140.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3111,Compensation and Benefits Managers,NA,280.0,9.6,0.202,1.06,57.99,120610.0,3.4,36.01,41.17,50.95,68.16,89.91,74910.0,85620.0,105970.0,141760.0,187020.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3121,Human Resources Managers,NA,1740.0,3.3,1.27,1.99,54.6,113560.0,2.3,32.22,40.78,52.04,65.89,80.98,67020.0,84820.0,108250.0,137060.0,168440.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3131,Training and Development Managers,NA,470.0,6.8,0.344,1.62,51.78,107700.0,2.4,35.62,40.89,49.19,61.22,73.45,74080.0,85050.0,102310.0,127340.0,152780.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9021,Construction Managers,NA,2440.0,11.6,1.785,1.17,52.47,109150.0,6.1,27.32,37.28,47.58,59.0,80.13,56820.0,77530.0,98970.0,122720.0,166670.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",NA,890.0,41.7,0.648,1.68,29.66,61690.0,6.4,17.34,24.98,31.56,34.78,36.7,36060.0,51960.0,65650.0,72350.0,76340.0,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",NA,1420.0,1.3,1.036,0.6,*,104950.0,1.1,*,*,*,*,*,81190.0,98020.0,107510.0,117000.0,129100.0,TRUE,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
