PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",00-0000,All Occupations,total,1346300.0,0.8,1000.0,1.0,26.25,54610.0,2.8,10.16,13.79,21.2,33.78,48.76,21120.0,28690.0,44090.0,70260.0,101430.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-0000,Management Occupations,major,73330.0,2.8,54.468,1.149,58.16,120980.0,1.7,30.86,40.47,52.91,69.39,#,64200.0,84180.0,110050.0,144340.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1011,Chief Executives,NA,1700.0,4.2,1.259,0.585,103.58,215450.0,3.3,59.68,77.48,#,#,#,124140.0,161150.0,#,#,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1021,General and Operations Managers,NA,12250.0,3.2,9.096,0.677,69.38,144300.0,1.7,34.46,45.63,61.19,#,#,71670.0,94900.0,127280.0,#,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1031,Legislators,NA,150.0,19.6,0.109,0.211,*,73320.0,11.9,*,*,*,*,*,19050.0,26010.0,86100.0,102810.0,121460.0,TRUE,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2011,Advertising and Promotions Managers,NA,420.0,9.8,0.31,1.222,49.07,102060.0,5.6,25.44,32.99,42.71,61.25,#,52910.0,68620.0,88840.0,127400.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2021,Marketing Managers,NA,5030.0,2.7,3.739,2.887,62.53,130060.0,3.5,37.64,46.74,59.88,73.99,#,78290.0,97210.0,124550.0,153890.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2022,Sales Managers,NA,5210.0,5.1,3.866,1.539,62.24,129460.0,2.9,32.18,42.21,56.14,74.38,#,66930.0,87800.0,116760.0,154710.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,NA,1140.0,6.7,0.848,2.016,50.3,104620.0,2.2,31.1,37.37,47.99,61.79,74.31,64690.0,77720.0,99820.0,128530.0,154560.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3011,Administrative Services Managers,NA,2810.0,3.5,2.089,1.105,48.89,101700.0,2.5,29.86,37.41,45.79,58.52,70.9,62120.0,77820.0,95240.0,121730.0,147470.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3021,Computer and Information Systems Managers,NA,6760.0,3.0,5.019,2.21,64.45,134060.0,4.5,41.52,50.17,60.99,74.4,#,86360.0,104360.0,126870.0,154740.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3031,Financial Managers,NA,6790.0,2.9,5.046,1.339,58.85,122400.0,1.6,33.75,42.15,53.47,69.68,#,70200.0,87680.0,111220.0,144930.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3051,Industrial Production Managers,NA,1350.0,4.7,1.004,0.89,50.44,104920.0,1.8,30.53,37.59,47.39,60.09,73.99,63510.0,78190.0,98580.0,125000.0,153900.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3061,Purchasing Managers,NA,1180.0,6.1,0.88,1.715,50.89,105860.0,3.4,25.83,37.58,48.8,61.7,76.14,53720.0,78160.0,101500.0,128340.0,158380.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",NA,1740.0,6.0,1.29,1.816,47.51,98820.0,2.7,25.82,33.68,44.98,55.17,72.27,53700.0,70060.0,93570.0,114750.0,150320.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3111,Compensation and Benefits Managers,NA,310.0,9.3,0.227,0.967,55.52,115480.0,3.1,32.13,38.93,48.61,64.89,#,66830.0,80960.0,101120.0,134980.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3121,Human Resources Managers,NA,1560.0,4.4,1.158,2.174,55.48,115400.0,2.1,34.91,43.16,52.88,64.99,79.93,72620.0,89770.0,109990.0,135190.0,166250.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3131,Training and Development Managers,NA,490.0,5.6,0.362,1.639,50.49,105020.0,2.6,34.83,40.07,47.38,58.39,72.61,72440.0,83340.0,98550.0,121460.0,151030.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9021,Construction Managers,NA,2450.0,10.4,1.821,1.209,53.02,110270.0,4.9,27.49,37.94,49.18,61.07,79.17,57190.0,78910.0,102300.0,127030.0,164670.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",NA,830.0,44.3,0.616,1.544,29.46,61270.0,5.1,18.68,25.37,31.36,34.4,36.2,38860.0,52760.0,65230.0,71550.0,75290.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",NA,1480.0,3.1,1.098,0.628,*,100040.0,1.4,*,*,*,*,*,75260.0,91250.0,103720.0,114630.0,124420.0,TRUE,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",NA,960.0,4.7,0.715,0.823,47.86,99550.0,10.7,26.48,32.67,40.88,54.63,#,55090.0,67960.0,85030.0,113640.0,#,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9039,"Education Administrators, All Other",NA,280.0,10.8,0.21,0.95,33.23,69110.0,4.3,19.43,22.54,33.48,42.07,49.49,40420.0,46880.0,69630.0,87500.0,102930.0,NA,NA
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9041,Architectural and Engineering Managers,NA,3520.0,4.4,2.617,1.904,62.86,130740.0,1.6,44.23,51.44,60.42,70.55,#,91990.0,107000.0,125670.0,146740.0,#,NA,NA
