PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",00-0000,All Occupations,total,1647350,1.3,1000,1,31.42,65350,2.6,12.3,15.92,24.3,39.37,60.33,25590,33120,50550,81900,125480,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-0000,Management Occupations,major,96540,4.3,58.606,1.15,66.33,137960,1.2,31.51,43.19,59.78,80.6,#,65530,89830,124340,167640,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1011,Chief Executives,detailed,3110,5.3,1.89,1.28,104.2,216730,2,52.6,69.43,98.27,#,#,109400,144420,204390,#,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1021,General and Operations Managers,detailed,24210,5.8,14.694,0.95,67.78,140990,1.4,30.3,39.79,57.78,84.54,#,63020,82760,120190,175840,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1031,Legislators,detailed,260,20.2,0.156,0.43,*,56150,10.3,*,*,*,*,*,22890,22900,35360,69150,133730,True,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,460,15.6,0.28,1.42,67.81,141040,4.3,38.2,52.71,64.63,78.33,98.59,79450,109640,134420,162940,205070,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2021,Marketing Managers,detailed,4740,11,2.879,1.87,75.75,157550,2.4,41.39,56.02,72.07,90.43,#,86100,116510,149910,188100,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2022,Sales Managers,detailed,5090,6.9,3.092,1.19,68.24,141950,2,33.58,45.61,61.75,85.34,#,69840,94860,128430,177500,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,1440,9.5,0.873,1.85,59.7,124170,3.4,32.84,41.66,54.54,73.36,92.72,68300,86640,113440,152590,192860,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3011,Administrative Services Managers,detailed,3080,5.7,1.868,0.99,60.28,125380,3.5,33.1,42.62,53.63,70.39,95.93,68850,88660,111550,146420,199540,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,10340,14.6,6.278,2.45,78,162230,2.6,48.18,58.36,72.86,91.01,#,100220,121380,151550,189290,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3031,Financial Managers,detailed,8150,4.9,4.945,1.24,71.14,147960,1.8,38.55,49.52,64.39,84.32,#,80180,103000,133930,175380,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3051,Industrial Production Managers,detailed,1600,7,0.973,0.81,66.11,137520,4.2,36.83,47.83,61.5,77.47,98.25,76610,99490,127920,161140,204370,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3061,Purchasing Managers,detailed,1430,9.9,0.87,1.76,65.25,135730,2.9,38.63,50.53,61.88,75.8,94,80340,105090,128710,157670,195520,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",detailed,1500,6.4,0.908,1.09,60.32,125460,2.1,35.01,44.06,57.9,72.51,88.22,72810,91640,120440,150810,183490,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3111,Compensation and Benefits Managers,detailed,270,15.9,0.164,1.5,66.11,137510,2.4,41.69,52.33,62.84,78.4,94.04,86710,108840,130710,163080,195600,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3121,Human Resources Managers,detailed,2350,6.2,1.426,1.49,63.74,132570,1.6,37.11,46.01,58.75,75.37,96.09,77180,95710,122200,156770,199870,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3131,Training and Development Managers,detailed,490,8.8,0.298,1.23,64.94,135080,5.7,35.83,44.28,59.08,78.54,98.27,74530,92100,122890,163350,204400,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9021,Construction Managers,detailed,4840,5.8,2.936,1.59,48.16,100180,1.7,30.1,37.16,47.13,57.88,68.37,62610,77290,98020,120400,142200,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,600,12.9,0.362,1.05,25.16,52340,3.1,16.55,19.98,24.71,29.03,34.85,34420,41550,51390,60380,72500,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",detailed,1900,1.9,1.153,0.66,*,119470,1.3,*,*,*,*,*,86850,109160,121510,134190,155190,True,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",detailed,1170,4.6,0.709,0.71,54.15,112640,8.3,31.27,37.29,46.13,61.4,86.81,65030,77570,95960,127720,180570,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9039,"Education Administrators, All Other",detailed,410,18.5,0.248,0.98,39.29,81720,7.7,17.9,25.86,36.37,50.41,63.59,37240,53800,75660,104860,132260,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9041,Architectural and Engineering Managers,detailed,2890,4.7,1.752,1.39,76.92,159990,2.2,50.76,63.28,74.61,89.36,#,105590,131630,155180,185870,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9051,Food Service Managers,detailed,1000,13.1,0.608,0.42,34.45,71660,3.5,21.92,26.02,33.04,40.68,48.16,45600,54120,68720,84620,100180,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9071,Gaming Managers,detailed,100,27.8,0.061,1.98,39.63,82430,7.4,22.46,27.18,35.1,46.3,60.08,46720,56540,73000,96300,124970,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9081,Lodging Managers,detailed,370,7,0.227,0.89,31.79,66120,4.4,17.47,22.05,28.77,38.07,48.34,36340,45860,59840,79180,100550,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9111,Medical and Health Services Managers,detailed,3150,11.8,1.915,0.79,60.45,125740,2.8,28.55,40.68,55.73,70.18,97.84,59380,84600,115910,145970,203510,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9121,Natural Sciences Managers,detailed,1030,10.4,0.625,1.58,74.74,155450,3.1,45.29,52.64,65.84,86.78,#,94190,109490,136950,180510,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9131,Postmasters and Mail Superintendents,detailed,50,0,0.028,0.29,41.46,86230,2.2,32.65,35.25,40.21,45.65,52.07,67910,73310,83630,94940,108310,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9141,"Property, Real Estate, and Community Association Managers",detailed,1510,9.9,0.915,0.7,43.91,91320,5.2,23.22,29.18,37.15,54.77,69.73,48300,60700,77270,113930,145050,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9151,Social and Community Service Managers,detailed,**,**,**,**,31.35,65210,6.7,13.78,22.03,30.32,40.48,48.7,28660,45820,63060,84190,101300,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9161,Emergency Management Directors,detailed,70,9.2,0.04,0.6,53.4,111070,4.2,33.43,40.27,50.09,66.55,76.38,69530,83770,104190,138410,158860,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9199,"Managers, All Other",detailed,6790,4.6,4.123,1.37,63.4,131880,2.6,32.29,43.54,58.08,76.56,98.14,67160,90560,120800,159240,204140,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-0000,Business and Financial Operations Occupations,major,135080,1.8,81.999,1.56,40.62,84480,2.7,21.54,27.75,36.78,49.47,64.47,44790,57720,76490,102890,134090,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,70,41.1,0.044,0.41,36.52,75960,14.4,16.77,18.71,28.79,65.43,76.01,34880,38920,59880,136090,158110,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1020,Buyers and Purchasing Agents,detailed,11130,9,6.754,2.33,36.31,75520,1.5,21.29,26.58,34.73,45.34,55.35,44290,55280,72240,94300,115140,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,3290,6.9,1.997,1.01,35.93,74730,2.3,21.54,26.77,34.64,42.47,49.63,44800,55690,72050,88330,103220,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1032,"Insurance Appraisers, Auto Damage",detailed,160,32.1,0.096,0.85,30.9,64270,4.2,22.28,25.76,29.63,35.94,40.87,46340,53580,61620,74760,85010,,
