PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42660,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,total,1984320,0.6,1000,1,31.44,65400,2.5,12.77,16.46,24.45,39.13,59.74,26560,34240,50860,81390,124250,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-0000,Management Occupations,major,110930,2.8,55.906,1.06,65.91,137090,1.2,30.92,42.81,60.05,80.03,#,64310,89050,124900,166460,#,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-1011,Chief Executives,detailed,2330,6.9,1.177,0.87,116.3,241900,2.3,66.99,85.79,#,#,#,139340,178440,#,#,#,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-1021,General and Operations Managers,detailed,28450,2.7,14.338,0.91,65.2,135610,1.2,27.7,38.13,55.89,81.37,#,57610,79310,116260,169250,#,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-1031,Legislators,detailed,330,11.9,0.164,0.47,*,65770,6.5,*,*,*,*,*,23930,23940,48450,104970,136670,True,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-2011,Advertising and Promotions Managers,detailed,380,19.7,0.192,1.1,73.19,152240,4.3,42.64,55.57,69.5,82.16,#,88690,115590,144560,170890,#,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-2021,Marketing Managers,detailed,5340,15.6,2.689,1.62,76.26,158620,2.6,42.35,55.19,72.22,91.25,#,88090,114800,150220,189800,#,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-2022,Sales Managers,detailed,5340,10.2,2.692,1.03,71.35,148410,1.8,34.74,48.78,65.99,88.28,#,72260,101470,137250,183620,#,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-2031,Public Relations and Fundraising Managers,detailed,1670,9.7,0.843,1.68,65.09,135390,2.8,37.48,47.55,60.78,76.08,96.66,77950,98900,126420,158250,201040,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-3011,Administrative Services Managers,detailed,3390,4.7,1.709,0.87,62.58,130170,2.9,35.44,44.32,56.7,73.61,97.02,73720,92180,117930,153110,201790,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-3021,Computer and Information Systems Managers,detailed,11700,6.8,5.898,2.18,79.18,164700,2.8,49.06,59.93,73.5,91.68,#,102050,124650,152880,190690,#,,
WA,42660,"Seattle-Tacoma-Bellevue, WA",11-3031,Financial Managers,detailed,9020,4.4,4.545,1.08,71.85,149440,2,39.67,51.03,65.45,84.3,#,82520,106150,136140,175340,#,,
