AREA,AREA_NAME,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,2020930,0.7,1000,1,NA,32.91,68460,2.5,13.74,17.32,25.65,41.25,63,28570,36020,53360,85800,131030,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,108100,2.1,53.492,0.98,NA,67.62,140660,0.9,32.45,44.23,61.78,81.94,#,67490,91990,128500,170440,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1920,7.9,0.949,0.68,NA,117.88,245180,1.8,71.42,89.54,#,#,#,148550,186250,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,27650,2.5,13.682,0.84,NA,67.14,139660,1.1,29.44,39.09,57.9,84.38,#,61240,81300,120430,175500,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,330,9.1,0.164,0.46,NA,*,100340,10.5,*,*,*,*,*,24970,27010,63350,135940,#,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,330,14.8,0.164,0.96,NA,72.2,150170,4,37.51,54.09,68.26,81.81,#,78020,112500,141980,170170,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,5620,9.1,2.781,1.55,NA,79.87,166120,2,43.73,57.11,75.59,94.96,#,90960,118780,157230,197510,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,5570,6.9,2.755,1.01,NA,71.93,149600,1.7,36.26,51.89,66.02,87.86,#,75430,107930,137320,182760,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,1750,13.8,0.866,1.61,NA,68.05,141550,2.5,40.74,50.13,63.24,77.84,#,84740,104270,131530,161910,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,3270,4.5,1.616,0.77,NA,61.89,128740,1.3,38.05,45.91,57.57,73.82,93.05,79140,95490,119750,153540,193550,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,10560,4.9,5.224,1.77,NA,82.32,171230,1.6,51.66,64.22,76.11,94.96,#,107450,133570,158310,197510,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,8790,4.2,4.347,0.98,NA,72.43,150650,1.3,39.38,51.68,66.95,83.79,#,81900,107490,139260,174290,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,1880,4.1,0.93,0.74,NA,64.32,133790,2.5,39.32,49.8,61.06,76.56,94.31,81780,103590,127000,159240,196160,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,1180,8.1,0.582,1.18,NA,68.6,142690,2.7,41.32,52.14,64.98,79.74,98.81,85940,108450,135160,165850,205530,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1870,10.6,0.926,1.03,NA,59.58,123920,2.2,34.8,43.36,56.92,72.08,84.97,72380,90190,118390,149920,176740,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,240,10.5,0.118,1.03,NA,75.39,156810,2.8,46.15,55.09,68.61,89.55,#,95980,114590,142710,186250,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,2490,3.8,1.23,1.17,NA,70.44,146510,1.5,42.98,52.37,64.84,82.13,#,89400,108930,134870,170830,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,560,6.4,0.279,1.06,NA,71.64,149020,7.2,37.53,46.69,65.22,87.95,#,78050,97120,135650,182940,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,5520,5.8,2.729,1.37,NA,51.28,106670,1.7,32.14,39.45,48.98,60.82,75.57,66850,82050,101890,126500,157190,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,920,14.8,0.454,1.27,NA,26.77,55680,3.7,17.98,21.18,26.07,31.05,37.6,37400,44050,54220,64590,78210,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,2750,2.3,1.358,0.74,NA,*,126840,1.2,*,*,*,*,*,85830,109430,129090,150580,164200,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1280,31.9,0.632,0.64,NA,52.78,109790,4.5,31.83,37.65,45.76,59.25,82.27,66210,78310,95180,123240,171120,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,590,18.2,0.293,0.97,NA,43.86,91230,7.2,21.99,29.07,38.9,52.15,70.95,45730,60470,80900,108470,147570,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,3010,4.1,1.489,1.13,NA,79.39,165130,2.1,53.31,65.27,77.03,92.36,#,110880,135760,160230,192110,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,**,**,**,**,NA,37.29,77560,7,19.44,26.97,34.55,44.19,56.44,40440,56100,71850,91910,117400,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,370,14.4,0.182,0.7,NA,36.34,75590,4.4,21.92,25.6,34.17,43.88,53.54,45590,53260,71070,91280,111350,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,4470,8.4,2.21,0.82,NA,62.1,129180,2.7,31.88,43.64,55.89,71.71,99.48,66310,90760,116250,149160,206920,,
42660,"Seattle-Tacoma-Bellevue, WA",4,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,1220,8.4,0.602,1.31,NA,81.41,169330,3.1,47.69,58.77,73.67,94.8,#,99190,122230,153230,197190,#,,
