AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1955810,0.8,1000,1,NA,35.74,74330,2.9,14.98,18.49,28.04,45.65,68.3,31170,38460,58330,94960,142070,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,**,**,**,**,NA,71.69,149120,1.4,35.52,48.07,65.71,87.08,#,73880,99980,136670,181120,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1720,10.4,0.882,0.61,NA,124.75,259480,2.9,79.67,95.19,#,#,#,165720,198000,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,**,**,**,**,NA,73.17,152200,2.7,32.81,43.67,64.1,93.11,#,68250,90830,133320,193680,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,260,9.6,0.133,0.36,NA,*,147730,9.5,*,*,*,*,*,28100,53460,112840,#,#,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,280,13.6,0.145,0.89,NA,67.15,139670,4.1,35.05,48.92,63.86,78.37,#,72900,101750,132820,163010,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,**,**,**,**,NA,81.4,169320,3,45.06,53.65,76.36,99.37,#,93730,111600,158830,206690,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,6460,4.9,3.303,1.18,NA,71.14,147980,3.5,39.86,51.71,65.52,85.1,#,82910,107550,136270,177010,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,1770,12.9,0.904,1.55,NA,68.12,141700,2.1,42.61,52.31,64.13,78.08,98.25,88630,108790,133390,162410,204350,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,3060,3.6,1.562,0.71,NA,62.09,129160,1.3,40.33,47.55,59.03,73.17,89.98,83890,98900,122780,152190,187150,,
