AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1917560,0,1000,1,NA,NA,36.62,76170,0.5,16.58,18.59,28.96,47.35,70.77,34480,38660,60230,98500,147200,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,109770,1.6,57.245,0.91,NA,NA,73.64,153170,1.1,37.2,48.29,64.01,89.51,#,77370,100440,133130,186170,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1900,6.9,0.992,0.7,NA,NA,150.69,313440,2.4,79.52,#,#,#,#,165400,#,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,27930,5.7,14.566,0.69,NA,NA,70.61,146860,2.6,32.87,45.13,61.26,87.08,#,68370,93870,127420,181130,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,350,12.5,0.18,0.57,NA,NA,*,132460,9.4,*,*,*,*,*,38240,56870,97260,#,#,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,210,19,0.108,0.67,NA,NA,73.87,153660,6.1,47.79,60.98,64.01,78.23,#,99410,126830,133140,162720,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,5520,5.1,2.878,1.46,NA,NA,81.22,168930,1.6,48.08,58.67,78.43,#,#,100010,122040,163130,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,6670,12.8,3.479,1.08,NA,NA,80.98,168450,2,45.6,61.13,78.06,#,#,94840,127150,162360,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,900,6.9,0.471,1.11,NA,NA,73.98,153880,2.7,45.59,53.7,63.47,83.91,#,94820,111690,132020,174530,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,490,8,0.257,1.56,NA,NA,67.32,140030,1.8,45.74,47.91,60.58,78.33,99.49,95140,99640,126000,162930,206950,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1340,5.7,0.697,0.44,NA,NA,68.58,142650,1.4,45.48,49.38,62.86,77.83,97.99,94600,102720,130750,161880,203810,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,1290,4.6,0.673,0.94,NA,NA,57.59,119780,1.4,35.91,45.48,57.57,69.58,78.33,74700,94600,119750,144720,162930,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,11220,6.5,5.852,1.7,NA,NA,89.04,185210,1.5,61.11,73.25,80.07,#,#,127100,152350,166540,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,7930,4.3,4.135,0.86,NA,NA,83.91,174530,1.5,47.93,61.24,78.22,#,#,99690,127380,162710,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,**,**,**,**,NA,NA,63.67,132440,0.8,47.51,47.71,60.76,72.54,80.76,98810,99240,126380,150890,167980,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,1460,6.9,0.761,1.55,NA,NA,73.52,152920,1.5,48.24,61.13,69.38,80.34,#,100340,127150,144300,167110,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1930,4,1.009,0.98,NA,NA,57.33,119240,1.7,33.9,43.87,53.64,69.82,80.51,70520,91250,111570,145230,167450,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,210,10.7,0.109,1,NA,NA,77.51,161210,2.6,48.25,61.01,76.75,91.78,#,100350,126890,159640,190890,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,2700,5.3,1.41,1.19,NA,NA,76.84,159830,1.3,47.8,60.98,72.93,85.93,#,99430,126830,151690,178740,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,430,7.9,0.225,0.89,NA,NA,69.2,143940,2.1,40.38,49.61,61.38,78.75,99.71,84000,103190,127680,163800,207390,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,7150,5.3,3.73,1.85,NA,NA,56.15,116800,2.2,31.77,45.6,50.22,63.24,78.33,66080,94840,104460,131540,162930,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,840,9.9,0.441,1.1,NA,NA,28.35,58970,3,22.41,22.66,28.78,29.41,37.86,46610,47130,59850,61170,78760,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,2870,1.3,1.498,0.77,NA,NA,*,138990,0.4,*,*,*,*,*,99270,126300,133410,162700,167450,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1440,5.6,0.752,0.68,NA,NA,68.74,142980,1.5,35.93,45.51,57.49,77.17,#,74730,94660,119580,160510,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,630,26.2,0.331,0.93,NA,NA,41.81,86960,7.9,18.55,23.42,37.02,49.09,77.54,38580,48700,77000,102100,161270,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,3360,3.9,1.75,1.32,NA,NA,81.56,169630,0.9,61.41,65.78,78.48,92.98,#,127740,136820,163240,193390,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1460,16.9,0.764,0.51,NA,NA,43.2,89860,5.7,23.29,28.98,46.82,47.47,66.92,48450,60280,97380,98730,139190,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,50,15.8,0.026,1.01,NA,NA,46.57,96870,2.4,33.14,37.57,38.52,51.89,62.46,68930,78150,80120,107930,129930,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,170,17,0.088,0.7,NA,NA,50.67,105390,3.7,30.04,34.17,49.19,62.38,76.59,62470,71070,102320,129750,159310,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,400,12,0.211,0.83,NA,NA,39.74,82670,4.5,23.81,28.99,37.23,47.35,51.93,49520,60300,77430,98490,108010,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,3250,4.6,1.696,0.55,NA,NA,70.97,147610,2.1,36.94,47.91,61.84,80.04,#,76820,99650,128620,166490,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,1410,9.4,0.734,1.38,NA,NA,90.48,188200,4.3,57.89,63.08,79.05,#,#,120400,131210,164420,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,50,0,0.027,0.3,NA,NA,41.89,87140,0,34.76,36.71,38.59,45.96,52.58,72300,76350,80260,95590,109370,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1670,12.1,0.868,0.52,NA,NA,52.66,109540,4.3,28.8,37.09,47.35,62.38,84.05,59900,77150,98490,129750,174820,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,1750,44.8,0.913,0.82,NA,NA,45.09,93800,5.4,28.42,34.24,41.39,50.73,62.41,59110,71220,86090,105520,129800,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,70,12.5,0.037,0.5,NA,NA,59.22,123170,0.8,37.15,47.03,57,69.7,82.93,77270,97830,118570,144980,172490,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9179,"Personal Service Managers, All Other",detailed,30,21.5,0.017,0.32,NA,NA,35.07,72940,10.3,22.54,23.5,29.14,47.35,54.56,46870,48880,60610,98490,113480,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,7960,3.1,4.151,1.17,NA,NA,73.52,152930,1.3,39.08,49.68,63.57,88.85,#,81290,103330,132220,184800,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,169820,1.6,88.562,1.38,NA,NA,46.83,97410,0.7,23.94,30.48,40.29,59.64,74.53,49790,63390,83810,124040,155030,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,180,14.9,0.093,1.05,NA,NA,50.97,106020,10.1,18.49,29.85,37.53,57.33,#,38470,62080,78070,119250,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,10670,4.6,5.567,1.79,NA,NA,39.44,82040,0.9,23.89,29.33,37.17,47.61,58.95,49700,61000,77310,99030,122620,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,3020,6,1.574,0.8,NA,NA,39.06,81250,1.4,24.41,29.98,37.63,47.48,53.05,50780,62350,78270,98750,110340,,
