PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",00-0000,All Occupations,total,959700.0,0.6,1000.0,1.0,31.17,64820.0,1.3,10.51,14.44,23.8,39.85,61.88,21870.0,30030.0,49510.0,82890.0,128710.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-0000,Management Occupations,major,71940.0,1.7,74.963,1.56,68.29,142050.0,1.3,29.2,41.84,61.82,87.1,#,60730.0,87030.0,128580.0,181170.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1011,Chief Executives,NA,2710.0,3.7,2.826,1.36,101.73,211600.0,2.7,50.31,73.5,#,#,#,104640.0,152880.0,#,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1021,General and Operations Managers,NA,18280.0,2.2,19.049,1.35,73.0,151830.0,1.6,30.74,41.95,64.27,#,#,63950.0,87270.0,133670.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1031,Legislators,NA,120.0,18.8,0.129,0.27,*,63860.0,4.5,*,*,*,*,*,34730.0,44770.0,64480.0,80980.0,95150.0,TRUE,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,NA,600.0,15.5,0.622,2.6,60.83,126540.0,5.1,30.45,39.17,53.39,79.87,#,63330.0,81470.0,111060.0,166140.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2021,Marketing Managers,NA,4060.0,5.7,4.23,3.22,81.5,169520.0,2.3,43.88,58.03,76.35,#,#,91260.0,120710.0,158800.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2022,Sales Managers,NA,4730.0,4.3,4.932,1.93,69.22,143970.0,2.3,30.71,40.82,63.24,88.38,#,63880.0,84910.0,131540.0,183830.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,NA,1090.0,9.1,1.135,2.74,67.38,140150.0,7.7,31.29,40.81,60.88,85.35,#,65090.0,84880.0,126640.0,177530.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3011,Administrative Services Managers,NA,2540.0,4.1,2.644,1.36,53.81,111920.0,2.0,27.66,38.48,50.82,65.35,83.17,57520.0,80040.0,105710.0,135930.0,173000.0,NA,NA
