PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41860,"San Francisco-Oakland-Hayward, CA",00-0000,All Occupations,total,2419090,0.7,1000,1,34.81,72400,1.1,12.41,15.98,26,44.63,69.93,25820,33240,54090,92820,145460,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-0000,Management Occupations,major,186210,1.2,76.974,1.46,75.45,156940,0.9,31,45.62,68.66,94.96,#,64480,94880,142820,197510,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-1011,Chief Executives,detailed,5040,3.3,2.083,1.54,118.67,246830,1.7,59.52,85.57,#,#,#,123800,177980,#,#,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-1021,General and Operations Managers,detailed,41470,2,17.142,1.08,76.53,159190,1.3,30.73,43.36,65.63,99.01,#,63910,90190,136520,205940,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-1031,Legislators,detailed,310,5,0.127,0.36,*,78400,4,*,*,*,*,*,37270,53110,69880,106070,127780,True,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-2011,Advertising and Promotions Managers,detailed,810,20.9,0.336,1.92,74.64,155250,4.8,37.1,48.08,63.83,92.22,#,77170,100010,132770,191810,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-2021,Marketing Managers,detailed,11020,2.9,4.556,2.74,87.78,182580,1.5,50.52,63.44,80.99,#,#,105090,131950,168450,#,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-2022,Sales Managers,detailed,12570,3.3,5.194,1.98,74.37,154700,1.5,30.77,47.31,67.98,92.33,#,64010,98410,141410,192050,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-2031,Public Relations and Fundraising Managers,detailed,2300,7.5,0.953,1.9,72.36,150500,2.9,39.06,48.98,63.45,86.98,#,81240,101880,131980,180920,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3011,Administrative Services Managers,detailed,6590,3.4,2.723,1.39,65.39,136000,2.7,34.57,43.35,58.94,76.86,#,71900,90160,122600,159870,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3021,Computer and Information Systems Managers,detailed,17590,4.9,7.27,2.69,93.39,194250,1.7,56.05,70.7,87.68,#,#,116590,147060,182380,#,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3031,Financial Managers,detailed,16320,3.3,6.745,1.61,88.63,184350,1.9,40.21,59.58,79.75,#,#,83630,123930,165880,#,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3051,Industrial Production Managers,detailed,2610,5.1,1.079,0.86,65.84,136940,2.1,32.52,43.96,59.29,79.55,#,67640,91430,123330,165450,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3061,Purchasing Managers,detailed,1430,4.8,0.59,1.23,72.05,149870,1.9,45.54,55.69,68.71,82.43,#,94720,115830,142910,171440,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,2930,8.6,1.213,1.41,59.37,123500,2.3,32.11,42.68,55.52,72.31,89.6,66790,88770,115480,150410,186380,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3111,Compensation and Benefits Managers,detailed,510,7.2,0.211,1.95,82.48,171560,4.8,43.92,56.43,77.63,97.21,#,91350,117370,161480,202200,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3121,Human Resources Managers,detailed,4180,3.4,1.728,1.74,78.39,163050,1.4,42.59,55.39,72.49,92.68,#,88580,115210,150770,192770,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-3131,Training and Development Managers,detailed,950,5.7,0.393,1.59,72.96,151750,2.5,37.78,51.38,69.83,87.93,#,78580,106860,145260,182890,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9021,Construction Managers,detailed,5300,5.7,2.191,1.14,62.1,129160,3.4,33.66,44.41,57.7,74.91,97.09,70010,92370,120020,155820,201950,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,1700,12.2,0.704,2.01,29.13,60580,4,20.99,23.69,27.65,32.77,39.42,43650,49270,57510,68170,81990,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,2510,3.8,1.036,0.57,*,129780,2,*,*,*,*,*,87510,111880,132220,154430,169470,True,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9033,"Education Administrators, Postsecondary",detailed,1390,7.5,0.573,0.58,63.26,131580,4.4,34.65,44.54,58.97,76.23,95.51,72080,92650,122660,158570,198660,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9039,"Education Administrators, All Other",detailed,1660,12.3,0.685,2.42,40.6,84450,5.7,19.24,26.19,34.77,52.48,69.64,40020,54460,72310,109150,144850,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9041,Architectural and Engineering Managers,detailed,6370,9.7,2.632,2.02,88.52,184130,3.5,49.45,63.56,81.59,#,#,102850,132200,169700,#,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9051,Food Service Managers,detailed,5340,8,2.207,1.46,29.46,61280,2.8,16.14,20.83,28.63,36.27,43.42,33560,43320,59550,75430,90310,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9061,Funeral Service Managers,detailed,**,**,**,**,49.76,103500,12.8,27.65,38.15,44.42,65.99,79.01,57520,79350,92390,137260,164340,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9071,Gaming Managers,detailed,40,11.7,0.015,0.51,64.48,134110,9.3,38.9,47.51,59.62,73.29,96.05,80920,98820,124010,152430,199790,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9081,Lodging Managers,detailed,740,12.6,0.304,1.19,41.69,86720,5.5,25.26,30.49,35.7,47.95,67.79,52540,63430,74260,99730,140990,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9111,Medical and Health Services Managers,detailed,5050,6.2,2.086,0.81,67.62,140650,4.8,31.96,40.6,60.48,82.47,#,66480,84440,125800,171540,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9121,Natural Sciences Managers,detailed,2390,8.1,0.986,2.37,94.59,196750,4.7,53.86,65.59,82.53,#,#,112030,136420,171660,#,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9131,Postmasters and Mail Superintendents,detailed,80,0,0.033,0.34,40.8,84860,1.8,30.85,35.88,40.21,45.02,47.87,64170,74630,83630,93640,99570,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,5370,6.3,2.219,1.59,47.33,98450,4.8,17.94,27.24,38.16,56.37,91.04,37320,56660,79370,117250,189370,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9151,Social and Community Service Managers,detailed,**,**,**,**,34.84,72460,4.3,20.19,23.31,31.31,40.83,56.45,41990,48480,65130,84920,117430,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9161,Emergency Management Directors,detailed,150,10.8,0.063,0.95,60.85,126560,2.5,42.4,51.17,58.9,71.7,78.95,88190,106430,122500,149130,164210,,
CA,41860,"San Francisco-Oakland-Hayward, CA",11-9199,"Managers, All Other",detailed,15710,3.6,6.492,2.03,79.62,165600,1.7,40.86,54.93,73.9,95.02,#,84990,114260,153710,197640,#,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-0000,Business and Financial Operations Occupations,major,192020,1.6,79.378,1.49,46.43,96580,0.9,23.77,30.74,41.29,55.88,74.76,49430,63940,85880,116230,155510,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,220,14,0.09,0.88,32.17,66900,8.1,18.55,24.01,29.49,34.74,37.92,38580,49930,61340,72270,78870,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1020,Buyers and Purchasing Agents,detailed,7210,5.5,2.979,1.06,36.99,76950,0.9,21.59,27.38,35.24,45.41,56.33,44900,56950,73290,94440,117170,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,4050,9.8,1.675,0.84,42.18,87730,1.9,25.19,33.99,42.63,50.14,59.09,52400,70690,88680,104300,122910,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1032,"Insurance Appraisers, Auto Damage",detailed,560,41.8,0.23,2.19,34.95,72690,5.7,21.52,26.33,33.28,42.51,52.93,44760,54760,69210,88410,110090,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1041,Compliance Officers,detailed,6610,5.9,2.733,1.31,43.95,91420,2.5,25.86,33.1,42.59,51.11,62.91,53790,68850,88590,106310,130850,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1051,Cost Estimators,detailed,4720,6,1.95,1.33,46.28,96260,2.6,24.14,31.49,41.93,55.37,73.43,50200,65500,87220,115170,152740,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1071,Human Resources Specialists,detailed,12800,4,5.293,1.29,41.94,87240,1.3,23.69,29.49,38.23,51.21,66.43,49280,61350,79510,106520,138170,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1075,Labor Relations Specialists,detailed,1620,10.5,0.671,1.26,41.65,86630,5.5,26.51,30.63,40.49,50.76,61.48,55150,63700,84220,105580,127880,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1081,Logisticians,detailed,2930,8.3,1.211,1.03,38.95,81020,3,21.86,28.91,37.43,47.27,59.8,45470,60130,77860,98330,124380,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1111,Management Analysts,detailed,17970,5.2,7.429,1.57,55.12,114640,2.7,27.55,35.55,48.24,65.41,89.5,57300,73940,100350,136060,186150,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,3200,6.1,1.324,1.74,32.89,68420,2.1,20.01,24.89,29.97,38.63,51.27,41620,51760,62330,80350,106640,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1131,Fundraisers,detailed,2180,8.8,0.903,1.73,36.48,75890,3.3,19.83,25.75,33.13,44.75,59,41250,53560,68910,93080,122720,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2080,8.6,0.861,1.49,39.96,83110,2.4,25.81,31.56,36.79,47.32,61.48,53690,65640,76530,98430,127890,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1151,Training and Development Specialists,detailed,5320,7.1,2.199,1.09,40.67,84580,1.5,18.85,28.4,39.73,51.74,63.35,39200,59080,82630,107620,131760,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,23680,8.3,9.79,2.22,42.67,88760,1.8,21.24,28.65,39.04,54.24,71.56,44180,59600,81210,112830,148840,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-1199,"Business Operations Specialists, All Other",detailed,35580,2.5,14.71,2.01,45.2,94010,1.5,22.91,30.7,41.33,56.02,72.78,47660,63860,85960,116510,151370,,
CA,41860,"San Francisco-Oakland-Hayward, CA",13-2011,Accountants and Auditors,detailed,26730,5,11.048,1.27,44.54,92630,1.4,26.25,32.07,40.48,52.03,68.61,54600,66710,84190,108220,142700,,
