AREA,AREA_NAME,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,AREA_TYPE,NAICS,NAICS_TITLE,OWN_CODE,PCT_TOTAL,I_GROUP
41860,"San Francisco-Oakland-Hayward, CA",00-0000,All Occupations,total,2472110,0.7,1000,1,36.49,75890,1.1,13.26,17.22,27.42,47.06,73.34,27580,35830,57040,97890,152550,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",Nov-00,Management Occupations,major,206800,1.8,83.652,1.53,76.38,158880,0.9,31.85,46.28,70.41,96.76,#,66250,96250,146450,201270,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",11-1011,Chief Executives,detailed,5480,3.4,2.218,1.58,113.49,236060,1.7,49.66,83.86,#,#,#,103300,174420,#,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",11-1021,General and Operations Managers,detailed,44500,2.1,18.003,1.1,74.93,155850,1.2,30.41,41.54,65.86,97.95,#,63250,86400,136980,203740,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",11-1031,Legislators,detailed,290,4.9,0.118,0.33,*,85250,3.1,*,*,*,*,*,44960,58930,77770,113430,130500,TRUE,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",11-Nov,Advertising and Promotions Managers,detailed,610,17.2,0.247,1.45,84.24,175210,4.3,44.08,57.38,74.68,#,#,91690,119340,155330,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",21-Nov,Marketing Managers,detailed,11620,3.3,4.701,2.62,87.37,181720,1.1,51.7,64.79,82.71,#,#,107540,134770,172040,#,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",22-Nov,Sales Managers,detailed,13810,3.4,5.587,2.04,76.79,159720,1.3,34.65,50.04,70.73,94.6,#,72070,104070,147120,196770,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",30-Nov,Public Relations and Fundraising Managers,detailed,2730,13.1,1.103,2.05,68.73,142950,2.2,38.09,47.82,61.93,84.23,#,79220,99470,128820,175200,#,,,4,0,Cross-industry,1235,,cross-industry
41860,"San Francisco-Oakland-Hayward, CA",10-Nov,Administrative Services and Facilities Managers,detailed,7180,3.7,2.904,1.39,63.47,132020,1.5,33.65,42.03,57.36,75.97,#,69980,87430,119300,158010,#,,,4,0,Cross-industry,1235,,cross-industry
