AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,2330800,0.7,1000,1,NA,39.35,81840,0.9,14.62,18.61,29.71,50.75,78.59,30420,38720,61790,105570,163460,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,209440,2.1,89.858,1.57,NA,80.68,167810,1,33.5,49.09,74.6,#,#,69670,102100,155160,#,#,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,5850,9.7,2.511,1.73,NA,112.58,234160,2.8,49.75,80.59,#,#,#,103480,167620,#,#,#,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,43260,2.4,18.561,1.1,NA,78.04,162320,1.7,32.25,43.99,68.06,#,#,67070,91510,141570,#,#,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,280,7.1,0.12,0.33,NA,*,89510,4,*,*,*,*,*,44250,62050,83500,117650,135870,True,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,610,9.4,0.261,1.62,NA,87.28,181540,5,49.05,61.59,75.58,#,#,102020,128110,157210,#,#,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,11350,5.2,4.869,2.51,NA,94.36,196260,1.4,54.01,70.03,89.78,#,#,112330,145650,186750,#,#,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,13410,4,5.755,2.05,NA,83.39,173450,1.4,38.37,55.64,76.48,#,#,79810,115740,159070,#,#,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,2850,13,1.221,2.09,NA,70.93,147520,2.6,37.36,47.64,63.25,88.49,#,77720,99080,131550,184070,#,,
41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,7010,4,3.007,1.36,NA,62.92,130880,1.4,33.55,42.34,56.45,76.61,#,69780,88060,117420,159350,#,,
