PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,AREA_TYPE,NAICS,NAICS_TITLE,OWN_CODE,PCT_TOTAL,I_GROUP
CA,41860,"San Francisco-Oakland-Hayward, CA",00-0000,All Occupations,total,2242190,0,1000,1,41.63,86590,0.5,16.97,20.4,29.81,55.33,79.63,35290,42430,62000,115090,165620,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-00,Management Occupations,major,218400,1.3,97.406,1.54,80.19,166780,0.6,34.24,48.04,75.87,#,#,71230,99930,157810,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",11-1011,Chief Executives,detailed,5350,6.5,2.388,1.68,124.05,258010,2.3,47.78,70.88,#,#,#,99370,147440,#,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",11-1021,General and Operations Managers,detailed,45190,3.2,20.154,0.95,73.32,152510,1.2,29.42,44.27,61.36,98.43,#,61200,92080,127630,204730,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",11-1031,Legislators,detailed,260,8.4,0.115,0.36,*,78330,7.3,*,*,*,*,*,29120,42950,60360,97240,129460,TRUE,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-11,Advertising and Promotions Managers,detailed,900,15.3,0.401,2.51,76.75,159650,4.2,45.93,58.58,72.72,79.41,#,95540,121850,151260,165180,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-21,Marketing Managers,detailed,11640,2.8,5.193,2.63,95.61,198870,1.4,55.24,73.23,92.98,#,#,114890,152310,193390,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-22,Sales Managers,detailed,15980,3.1,7.129,2.21,82.92,172470,1.2,36.36,54.69,77.84,#,#,75630,113760,161910,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-32,Public Relations Managers,detailed,1820,12.8,0.811,1.91,74.82,155630,2.9,37.83,52.06,63.47,95.69,#,78690,108280,132020,199030,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-33,Fundraising Managers,detailed,570,11,0.253,1.54,72.09,149940,3.5,37.53,47.41,63.12,91.1,#,78060,98610,131290,189480,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-12,Administrative Services Managers,detailed,5130,5.5,2.287,1.43,64.22,133570,1.9,33.79,42.93,57.71,80.51,#,70290,89290,120040,167450,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-13,Facilities Managers,detailed,2410,4.9,1.077,1.5,59.58,123920,2,33.07,38.69,56.16,75.82,95.9,68790,80480,116820,157710,199460,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-21,Computer and Information Systems Managers,detailed,25690,3.5,11.459,3.33,101.67,211470,1,60.69,77.87,98.71,#,#,126230,161970,205310,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-31,Financial Managers,detailed,20350,2.4,9.077,1.88,90.82,188900,0.9,47.9,61.45,80.51,#,#,99630,127810,167450,#,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-51,Industrial Production Managers,detailed,3690,3.6,1.645,1.21,74.83,155640,1.6,41.12,49.38,72.78,94.14,#,85520,102720,151370,195810,#,,,4,0,Cross-industry,1235,,cross-industry
CA,41860,"San Francisco-Oakland-Hayward, CA",Nov-61,Purchasing Managers,detailed,1310,4.3,0.584,1.19,77.86,161960,1.7,47.79,56.3,73.03,94.19,#,99410,117090,151890,195910,#,,,4,0,Cross-industry,1235,,cross-industry
