year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,9.59,11.78,13.35,15.18,17.55,13.49,4780
2012,9.21,11.74,13.62,15.98,17.95,13.72,5500
2013,9.23,11.66,13.74,16.69,19.65,14.13,5290
2014,9.25,10.93,13.66,17.52,21.27,14.44,5410
2015,9.69,10.72,12.7,15.77,21.18,13.95,5520
2016,10.7,11.38,12.91,16.2,20.22,14.26,6200
2017,11.88,12.28,14.11,16.93,19.25,14.93,6040
2018,12.84,13.82,15.67,18.25,20.72,16.27,7230
2019,13.95,14.62,16.2,18.57,21.51,16.91,8130
2020,14.66,15.23,16.92,19.46,23.27,17.81,5980
2021,16.84,17.18,17.67,22.9,23.43,19.41,2940
