year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,8.53,8.81,9.29,12.87,17.79,11.29,3020
2012,8.6,8.91,9.48,13.41,17.64,11.37,3210
2013,8.67,9.03,10.14,14.79,17.79,11.82,3590
2014,8.66,9.07,10.55,14.54,17.91,11.96,4250
2015,9.58,9.61,11.01,14.03,17.44,12.22,4280
2016,10.51,10.69,11.54,13.6,17.62,12.76,4330
2017,11.75,11.92,12.46,14.98,20.15,14.19,3980
2018,12.77,12.78,13.78,15.48,20.75,15.05,4190
2019,13.59,13.89,14.6,15.92,21.25,15.78,4290
2020,14.35,14.66,15.18,16.2,20.78,16.27,2930
2021,15.06,15.1,16.1,17.27,17.79,16.61,2110
