year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp,jobs_1000
2011,9.86,10.8,18.27,29.31,37.88,20.98,2150,3.328
2012,11.22,17.04,25.82,34.41,43,26.34,1730,2.654
2013,16.32,19.2,27.38,36.53,45.53,29.13,1580,2.374
2014,16.45,19.36,28.29,39.41,47.42,30.22,1490,2.201
2015,16.17,18.31,25.58,37.38,47.44,29.24,1300,1.928
2016,16.45,18.59,27.4,37.71,46.9,29.71,1170,1.666
2017,16.86,19.11,28.53,37.62,48.09,30.73,990,1.396
2018,19.83,23.49,30.36,37.23,46.23,31.63,1050,1.477
2019,21.09,24.23,29.62,36.8,44.72,31.67,1220,1.684
2020,20.79,23.92,29.39,37.15,45.23,31.4,930,1.356
2021,22.95,22.97,29.01,38,40.66,30.67,1290,1.944
