year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp,jobs_1000
2011,8.52,8.82,9.32,17.7,23.44,14.06,7730,11.988
2012,8.54,8.8,9.23,15.78,21.85,13.08,9130,13.961
2013,8.54,8.76,9.13,11.39,22.6,12.37,10360,15.565
2014,8.56,8.79,9.19,12,21.22,12.24,10110,14.984
2015,9.51,9.57,9.58,11.59,20.78,13.15,10180,15.055
2016,10.5,10.51,10.58,12.07,22,14.89,8720,12.413
2017,11.7,11.71,11.86,16.7,31.74,17.48,8440,11.921
2018,12.76,12.77,14.54,28.3,48,23.14,9630,13.513
2019,13.57,13.58,17.37,28.67,46.68,23.83,10940,15.121
2020,14.28,14.72,21.08,32.03,49.26,26.54,7560,11
2021,15.01,15.05,16.77,29.08,44.85,23.19,5820,8.787
