year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp,jobs_1000
2011,8.93,9.6,13.07,16.13,20.21,13.83,6560,4.788
2012,9.18,9.46,12.43,15.94,21.05,13.77,7610,5.4
2013,9.26,9.44,11.31,16.46,23.26,13.87,7180,4.954
2014,9.36,10.17,13.67,19.57,26.95,15.91,6450,4.319
2015,9.58,10.64,13.45,20.19,26.76,16.04,6890,4.486
2016,10.13,11.24,14.3,20.54,26.03,16.59,6750,4.25
2017,11.35,11.85,13.89,18.93,24.92,16.33,7050,4.281
2018,11.83,12.44,16.9,22.88,29.24,18.96,7810,3.936
2019,12.43,13.94,18.59,24.43,30.38,20.41,8820,4.365
2020,13.89,14.77,17.83,23.91,30.17,20.47,8070,4.127
2021,14.77,15.13,17.84,29.08,36.42,22.99,5540,2.891
