year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,9.67,11.07,12.88,14.43,16.59,12.88,12930
2012,9.66,10.91,12.82,14.59,16.94,12.95,12590
2013,9.73,10.88,12.7,14.45,16.85,12.88,12070
2014,9.94,11.31,12.98,14.49,16.84,13.08,12150
2015,10.09,11.77,13.48,15.15,17.56,13.58,12040
2016,10.61,12.13,14.17,16.36,18.13,14.19,14180
2017,11.89,13.06,15.41,17.61,18.99,15.42,15320
2018,12.51,14.06,16.24,18.18,19.69,16.23,20390
2019,13.86,15.57,17.18,18.77,20.48,17.22,19900
2020,14.56,15.98,17.7,19.39,22.03,17.85,13740
2021,17.45,17.87,18.67,22.56,23.26,20.04,14310
