year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp,jobs_1000
2011,8.86,9.1,9.83,10.93,11.6,10.07,3760,2.749
2012,9.14,9.28,10.04,11.19,12.72,10.43,5080,3.607
2013,9.27,9.44,10.37,11.38,13.03,10.66,4750,3.277
2014,9.41,9.79,10.67,11.54,13.3,10.91,5980,4.004
2015,9.68,10.25,11.2,12.41,14.01,11.47,5870,3.817
2016,10.12,10.74,11.79,13.43,14.78,12.14,6980,4.395
2017,11.38,11.95,13.15,14.7,16.3,13.45,6000,3.645
2018,11.62,11.85,13.08,15.49,17.68,13.81,7760,3.91
2019,12.13,12.43,14.37,16.87,18.58,14.75,7580,3.752
2020,13.51,13.62,15.4,17.86,19.3,15.86,5740,2.934
2021,14.9,15.13,17.45,19.11,22,18.06,5170,2.698
