year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,9.49,10.17,11.3,17.18,23.07,14.01,4840
2012,9.66,10.38,11.61,18.31,23.09,14.49,4840
2013,9.65,10.32,11.44,17.15,24.4,14.37,5280
2014,9.44,10.24,11.54,16.14,18.92,13.54,6540
2015,9.86,10.97,13.87,18.46,29.47,16.39,6550
2016,10.88,12.29,14.33,19.23,32.85,17.74,7070
2017,12.47,13.38,14.91,19.03,33.32,18.58,6650
2018,11.66,13,14.47,17.9,28.59,17.47,10130
2019,12.16,13.59,15.58,18.49,27.97,17.94,10480
2020,13.02,14.29,16.47,19.03,29.2,18.72,7960
2021,14.35,14.92,17.22,18.41,24.17,19.18,5340
