year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp,jobs_1000
2011,10.28,11.88,13.53,16.33,20.64,14.47,9510,9.909
2012,9.63,11.33,13.19,14.96,19.92,13.89,9370,9.361
2013,9.81,11.19,13.05,14.82,20.55,13.91,10010,9.571
2014,9.64,10.95,13.2,16.27,20.14,14.21,10780,9.924
2015,10.34,12.13,13.94,16.87,20.6,14.96,10340,10.142
2016,11.37,12.97,15.13,18.39,23.51,16.29,10430,9.778
2017,12.75,13.87,15.9,19.24,26.4,17.44,12590,11.281
2018,12.31,13.5,15.69,18.85,25.04,16.93,26570,10.982
2019,13.09,14.43,16.88,20.59,27.83,18.48,29590,11.969
2020,13.77,15.16,17.66,21.23,28.02,19.21,21830,9.365
2021,15.12,17.8,18.64,21.31,23.25,19.85,17710,7.899
